관리코드,스마트스토어,자사몰,ESM,배민상회,식봄,올웨이즈,캐시노트,쿠팡,토마토,알리
45-20-+01,0.04,0.05,0.04,0.05,0.05,0.05,0.04,0.04,0.04,0.04
45-08,0.03,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03
45-12-04,0.04,0.06,0.04,0.06,0.06,0.06,0.04,0.04,0.04,0.04
45-10-01,0.03,0.03,0.03,0.04,0.0463,0.04,0.03,0.03,0.03,0.03
45-05,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.04
50-32,0.03,0.06,0.03,0.06,0.06,0.06,0.04,0.03,0.03,0.03
50-21-01,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
50-20-01,0.035,0.04,0.035,0.04,0.06,0.06,0.035,0.035,0.035,-0.045
50-75-02,0.03,0.04,0.03,0.04,0.035,0.04,0.03,0.03,0.03,0.03
45-12-06,0.03,0.03,0.03,0.05,0.05,0.05,0.03,0.03,0.03,0.03
45-10-09,0.035,0.035,0.045,0.045,0.045,0.045,0.035,0.035,0.03,0.035
10-02,0.043,0.04,0.04,0.04,0.04,0.04,0.09,0.05,0.05,0.05
46-04,0.059,0.043,0.043,0.043,0.043,0.043,0.065,0.043,0.0555,0.063
11-16,0.054,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
23-31,0.0859,0.15,0.0827,0.15,0.0882,0.15,0.08,0.15,0.15,0.087
26-12,0.0511,0.1363,0.065,0.1363,0.0603,0.1363,0.06,0.136,0.1362,0.0674
26-27-02,0.061,0.1706,0.0851,0.17,0.091,0.17,0.106,0.1196,0.1575,0.1424
23-333-01,0.1239,0.1865,0.1253,0.18,0.1004,0.18,0.108,0.2,0.1858,0.1113
26-27-04,0.038,0.1706,0.102,0.17,0.091,0.17,0.106,0.1359,0.0815,0.1424
23-05,0.064,0.115,0.12,0.115,0.115,0.115,0.064,0.119,0.116,0.064
29-00,0.0423,0.09,0.0697,0.09,0.0616,0.09,0.068,0.09,0.09,0.09
25-40,0.12,0.16,0.092,0.16,0.0973,0.16,0.088,0.16,0.15,0.16
20-10,0.1061,0.1161,0.1238,0.1361,0.1166,0.1361,0.12,0.14,0.1371,0.1361
BT10EA-20-10,0.1,0.1,0.0843,0.1,0.1,0.1,0.1,0.1,0.1,0.1
15-04-01,0.07,0.07,0.2711,0.07,0.07,0.07,0.059,0.07,0.07,0.07
08-28,0.056,0.045,0.045,0.045,0.045,0.045,0.035,0.045,0.0569,0.045
10-01,0.046,0.05,0.05,0.05,0.05,0.1,0.036,0.1,0.1,0.1
24-12-10,0.053,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04
14-02-02,0.043,0.07,0.07,0.07,0.07,0.07,0.03,0.07,0.07,0.07
23-05-01,0.0518,0.0718,0.0803,0.072,0.072,0.072,0.06,0.0803,0.0741,0.072
46-04-01,0.064,0.05,0.05,0.05,0.05,0.05,0.057,0.05,0.05,0.05
BT10EA-20-04,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
FH6-11-17,0.07,0.1,0.1,0.1,0.1,0.1,0.1064,0.1064,0.1064,0.1064
11-17,0.05,0.05,0.05,0.05,0.05,0.05,0.046,0.05,0.05,0.05
GB140G12EA-10-02,0.04,0.04,0.04,0.04,0.04,0.04,0.09,0.05,0.05,0.05
22-10,0.0341,0.0459,0.0476,0.0459,0.0459,0.0459,0.0359,0.0665,0.051,0.0459
22-11,0.0341,0.0459,0.0365,0.0459,0.0459,0.0459,0.0359,0.0545,0.048,0.0459
22-13,0.0435,0.0558,0.0487,0.0558,0.0558,0.0558,0.0418,0.0665,0.0585,0.0558
20-90-11,0.064,0.08,0.0613,0.08,0.08,0.08,0.08,0.08,0.08,0.08
35-07,0.03,0.0466,0.04,0.0466,0.0466,0.0466,0.03,0.0621,0.0504,0.0466
23-16,0.1124,0.2,0.2503,0.2,0.2465,0.2,0.2,0.2,0.2,0.2565
23-18,0.076,0.076,0.2837,0.076,0.1328,0.076,0.076,0.232,0.115,0.1446
23-08,0.0622,0.0622,0.1558,0.062,0.1566,0.062,0.062,0.0664,0.0631,0.1581
23-40.,0.0383,0.0383,0.1719,0.04,0.062,0.04,0.04,0.1587,0.0695,0.0753
29-17,0.0471,0.0471,0.0893,0.0471,0.0958,0.0471,0.0471,0.0574,0.0497,0.0758
11-75-04,0.107,0.23,0.1047,0.23,0.1009,0.08,0.23,0.23,0.23,0.1103
23-19,0.0103,0.213,0.1706,0.0924,0.0924,0.0924,0.0054,0.1314,0.1172,0.1319
26-27-03,0.061,0.1706,0.0851,0.17,0.13,0.17,0.106,0.1196,0.1575,0.1424
23-34-01,0.15,0.15,0.2632,0.15,0.15,0.15,0.15,0.15,0.15,0.2671
20-02-02,0.05,0.05,0.0889,0.05,0.0655,0.05,0,0.05,0.05,0.05
26-04,0.1216,0.15,0.0515,0.15,0.0558,0.15,0.112,0.15,0.15,0.15
26-09-01,0.0592,0.0997,0.1682,0.1,0.0597,0.1,0.1,0.2107,0.1276,0.1
23-28,0.078,0.15,0.1112,0.1543,0.1071,0.1543,0.127,0.154,0.1537,0.1543
23-29,0.0584,0.1595,0.0894,0.1595,0.098,0.1595,0.112,0.159,0.1593,0.1595
31-03-08-CB-31-03-01,0.06,0.06,0.0331,0.06,0.0384,0.06,0.06,0.06,0.06,0.06
FH6-14-01,0.0554,0.0741,0.0533,0.0741,0.0741,0.0741,0.0741,0.0741,0.0741,0.0741
22-12,0.03,0.0406,0.0324,0.04,0.04,0.04,0.04,0.0501,0.0426,0.04
22-13-01,0.03,0.0459,0.0342,0.0459,0.0459,0.0459,0.0459,0.0536,0.0478,0.0459
MGG1EA-67-74-01,0.217,0.08,0.1566,0.08,0.08,0.08,0.08,0.08,0.08,0.08
MGG1EA-67-74,0.217,0.08,0.1566,0.08,0.08,0.08,0.08,0.08,0.08,0.08
BT10EA-28-50,0.0733,0.1,0.0652,0.1,0.1,0.1,0.1,0.1,0.1,0.1
40-09-02,0.1057,0.15,0.1094,0.15,0.15,0.15,0.108,0.15,0.15,0.15
31-03-07-CB-31-03-01,0.06,0.06,0.0435,0.06,0.06,0.06,0.06,0.06,0.06,0.06
20-01-01,0.057,0.08,0.1251,0.08,0.08,0.08,0.08,0.08,0.08,0.08
29-01-03,0.03,0.03,0.1482,0.03,0.03,0.03,0.03,0.03,0.03,0.03
