code,l1,l2,l3,value
010101,가공식품,냉장/냉동,햄,[010101] 가공식품 / 냉장/냉동/ 햄
010102,가공식품,냉장/냉동,햄버거/핫도그/떡갈비/꼬치,[010102] 가공식품 / 냉장/냉동 / 햄버거/핫도그/떡갈비/꼬치
010103,가공식품,냉장/냉동,돈가스,[010103] 가공식품 / 냉장/냉동 / 돈가스
010104,가공식품,냉장/냉동,소시지,[010104] 가공식품 / 냉장/냉동 / 소시지
010105,가공식품,냉장/냉동,튀김류,[010105] 가공식품 / 냉장/냉동 / 튀김류
010106,가공식품,냉장/냉동,만두/순대/분식류,[010106] 가공식품 / 냉장/냉동 / 만두/순대/분식류
010107,가공식품,냉장/냉동,베이컨/훈제육,[010107] 가공식품 / 냉장/냉동 / 베이컨/훈제육
010108,가공식품,냉장/냉동,냉동과일/얼음,[010108] 가공식품 / 냉장/냉동 / 냉동과일/얼음
010109,가공식품,냉장/냉동,어묵/맛살,[010109] 가공식품 / 냉장/냉동 / 어묵/맛살
010110,가공식품,냉장/냉동,유부/두부/묵,[010110] 가공식품 / 냉장/냉동 / 유부/두부/묵
010111,가공식품,냉장/냉동,떡류,[010111] 가공식품 / 냉장/냉동 / 떡류
010301,가공식품,유제품,우유/요거트,[010301] 가공식품 / 유제품 / 우유/요거트
010302,가공식품,유제품,치즈,[010302] 가공식품 / 유제품 / 치즈
010303,가공식품,유제품,유가공품,[010303] 가공식품 / 유제품 / 유가공품
010401,가공식품,식용유/설탕/소금,대두유,[010401] 가공식품 / 식용유/설탕/소금 / 대두유
010402,가공식품,식용유/설탕/소금,올리브유/카놀라유/기타,[010402] 가공식품 / 식용유/설탕/소금 / 올리브유/카놀라유/기타
010403,가공식품,식용유/설탕/소금,참기름/들기름,[010403] 가공식품 / 식용유/설탕/소금 / 참기름/들기름
010404,가공식품,식용유/설탕/소금,설탕/물엿/올리고당,[010404] 가공식품 / 식용유/설탕/소금 / 설탕/물엿/올리고당
010405,가공식품,식용유/설탕/소금,소금,[010405] 가공식품 / 식용유/설탕/소금 / 소금
010501,가공식품,장류/조미료,고추장/된장/쌈장/간장,[010501] 가공식품 / 장류/조미료 / 고추장/된장/쌈장/간장
010502,가공식품,장류/조미료,다시다/기타조미료,[010502] 가공식품 / 장류/조미료 / 다시다/기타조미료
010503,가공식품,장류/조미료,고춧가루/들깨/참깨/기타분말,[010503] 가공식품 / 장류/조미료 / 고춧가루/들깨/참깨/기타분말
010504,가공식품,장류/조미료,후추/겨자/와사비/향신료,[010504] 가공식품 / 장류/조미료 / 후추/겨자/와사비/향신료
010601,가공식품,소스/양념/육수,케찹/머스타드/피자/스파게티소스,[010601] 가공식품 / 소스/양념/육수 / 케찹/머스타드/피자/스파게티소스
010602,가공식품,소스/양념/육수,돈가스/치킨소스,[010602] 가공식품 / 소스/양념/육수 / 돈가스/치킨소스
010603,가공식품,소스/양념/육수,마요네즈/드레싱,[010603] 가공식품 / 소스/양념/육수 / 마요네즈/드레싱
010604,가공식품,소스/양념/육수,고기양념/시즈닝,[010604] 가공식품 / 소스/양념/육수 / 고기양념/시즈닝
010605,가공식품,소스/양념/육수,우동/국수/냉면/기타육수,[010605] 가공식품 / 소스/양념/육수 / 우동/국수/냉면/기타육수
010606,가공식품,소스/양념/육수,퀴진별 소스/양념,[010606] 가공식품 / 소스/양념/육수 / 퀴진별 소스/양념
010701,가공식품,밀가루/라면/믹스류,밀가루/전분,[010701] 가공식품 / 밀가루/라면/믹스류 / 밀가루/전분
010702,가공식품,밀가루/라면/믹스류,프리믹스,[010702] 가공식품 / 밀가루/라면/믹스류 / 프리믹스
010703,가공식품,밀가루/라면/믹스류,면류,[010703] 가공식품 / 밀가루/라면/믹스류 / 면류
010801,가공식품,편의식/가공기타,즉석밥/국/탕/반조리식품,[010801] 가공식품 / 편의식/가공기타 / 즉석밥/국/탕/반조리식품
010802,가공식품,편의식/가공기타,캔/통조림,[010802] 가공식품 / 편의식/가공기타 / 캔/통조림
010803,가공식품,편의식/가공기타,디저트/스낵,[010803] 가공식품 / 편의식/가공기타 / 디저트/스낵
010805,가공식품,편의식/가공기타,밀키트,[010805] 가공식품 / 편의식/가공기타 / 밀키트
010806,가공식품,편의식/가공기타,비건(채식)식품,[010806] 가공식품 / 편의식/가공기타 / 비건(채식)식품
010809,가공식품,편의식/가공기타,선물세트/가공기타,[010809] 가공식품 / 편의식/가공기타 / 선물세트/가공기타
010901,가공식품,반찬류,김치류,[010901] 가공식품 / 반찬류 / 김치류
010902,가공식품,반찬류,젓갈류,[010902] 가공식품 / 반찬류 / 젓갈류
010903,가공식품,반찬류,절임류,[010903] 가공식품 / 반찬류 / 절임류
