ESM카테고리명,사이트카테고리명,사이트,ESM카테고리,사이트카테고리
식품>가공식품>음료>생수,커피/음료>생수/탄산수>생수,G마켓,00030002000300010000,100000094200001204300012400
식품>가공식품>음료>탄산수,커피/음료>생수/탄산수>탄산수,G마켓,00030002000300020000,100000094200001204300029196
식품>가공식품>음료>탄산/청량음료>콜라,커피/음료>탄산/청량음료>콜라,G마켓,00030002000300030001,100000094200000753300008259
식품>가공식품>음료>탄산/청량음료>사이다,커피/음료>탄산/청량음료>사이다,G마켓,00030002000300030002,100000094200000753300024677
식품>가공식품>음료>탄산/청량음료>무알콜음료,커피/음료>탄산/청량음료>무알콜음료,G마켓,00030002000300030003,100000094200000753300008266
식품>가공식품>음료>탄산/청량음료>과즙탄산음료,커피/음료>탄산/청량음료>과즙탄산음료,G마켓,00030002000300030004,100000094200000753300012350
식품>가공식품>음료>탄산/청량음료>아이스티음료,커피/음료>탄산/청량음료>아이스티음료,G마켓,00030002000300030005,100000094200000753300029208
식품>가공식품>음료>탄산/청량음료>기타탄산음료,커피/음료>탄산/청량음료>기타탄산음료,G마켓,00030002000300030006,100000094200000753300024678
식품>가공식품>음료>주스/과채음료>오렌지/감귤주스,커피/음료>주스/과즙음료>오렌지/감귤주스,G마켓,00030002000300040001,100000094200000563300008248
식품>가공식품>음료>주스/과채음료>포도주스,커피/음료>주스/과즙음료>포도주스,G마켓,00030002000300040003,100000094200000563300024674
식품>가공식품>음료>주스/과채음료>사과주스,커피/음료>주스/과즙음료>사과주스,G마켓,00030002000300040004,100000094200000563300008245
식품>가공식품>음료>주스/과채음료>망고주스,커피/음료>주스/과즙음료>망고주스,G마켓,00030002000300040005,100000094200000563300029202
식품>가공식품>음료>주스/과채음료>자몽주스,커피/음료>주스/과즙음료>자몽주스,G마켓,00030002000300040006,100000094200000563300024676
식품>가공식품>음료>주스/과채음료>매실주스,커피/음료>주스/과즙음료>매실주스,G마켓,00030002000300040007,100000094200000563300021918
식품>가공식품>음료>주스/과채음료>블루베리주스,커피/음료>주스/과즙음료>블루베리주스,G마켓,00030002000300040012,100000094200000563300005675
식품>가공식품>음료>주스/과채음료>알로에주스,커피/음료>주스/과즙음료>알로에주스,G마켓,00030002000300040017,100000094200000563300024675
식품>가공식품>음료>주스/과채음료>토마토주스,커피/음료>주스/과즙음료>토마토주스,G마켓,00030002000300040018,100000094200000563300007009
식품>가공식품>음료>주스/과채음료>야채주스,커피/음료>주스/과즙음료>야채주스,G마켓,00030002000300040019,100000094200000563300005670
식품>가공식품>음료>주스/과채음료>에이드음료,커피/음료>탄산/청량음료>에이드음료,G마켓,00030002000300040021,100000094200000753300029209
식품>가공식품>음료>주스/과채음료>기타과즙음료,커피/음료>주스/과즙음료>기타과즙음료,G마켓,00030002000300040022,100000094200000563300005673
식품>가공식품>음료>주스/과채음료>어린이주스/음료,커피/음료>주스/과즙음료>어린이주스/음료,G마켓,00030002000300040027,100000094200000563300021919
식품>가공식품>음료>기능성음료>이온음료,커피/음료>기능성음료>이온음료,G마켓,00030002000300060001,100000094200001205300013137
식품>가공식품>음료>기능성음료>에너지음료,커피/음료>기능성음료>에너지음료,G마켓,00030002000300060003,100000094200001205300024679
식품>가공식품>음료>기능성음료>자양강장/숙취해소음료,커피/음료>기능성음료>자양강장/숙취해소음료,G마켓,00030002000300060004,100000094200001205300029199
식품>가공식품>음료>기능성음료>비타민음료,커피/음료>기능성음료>비타민음료,G마켓,00030002000300060005,100000094200001205300008263
식품>가공식품>음료>기능성음료>기타기능성음료,커피/음료>기능성음료>기타기능성음료,G마켓,00030002000300060006,100000094200001205300029197
식품>가공식품>음료>기능성음료>인삼/홍삼음료,커피/음료>차음료/전통음료>인삼/홍삼음료,G마켓,00030002000300060007,100000094200002375300008261
식품>가공식품>음료>기능성음료>소화제/정장제,커피/음료>기능성음료>소화제/정장제,G마켓,00030002000300060008,100000094200001205300029198
식품>가공식품>음료>우유/유음료>우유,커피/음료>우유/두유>우유,G마켓,00030002000300070001,100000094200002376300021921
식품>가공식품>음료>우유/유음료>요구르트,커피/음료>우유/두유>요구르트,G마켓,00030002000300070003,100000094200002376300008255
식품>가공식품>음료>우유/유음료>기타유음료,커피/음료>우유/두유>기타유음료,G마켓,00030002000300070005,100000094200002376300029200
식품>가공식품>음료>두유,커피/음료>우유/두유>두유,G마켓,00030002000300080000,100000094200002376300029201
식품>가공식품>음료>커피음료,커피/음료>커피>커피음료,G마켓,00030002000300090000,100000094200000959300029205
식품>가공식품>음료>차음료/전통음료>녹차음료,커피/음료>차음료/전통음료>녹차음료,G마켓,00030002000300100001,100000094200002375300024670
식품>가공식품>음료>차음료/전통음료>보리/옥수수차음료,커피/음료>차음료/전통음료>보리/옥수수차음료,G마켓,00030002000300100003,100000094200002375300010279
식품>가공식품>음료>차음료/전통음료>홍차음료,커피/음료>차음료/전통음료>홍차음료,G마켓,00030002000300100009,100000094200002375300008260
식품>가공식품>음료>차음료/전통음료>헛개음료,커피/음료>차음료/전통음료>헛개차음료,G마켓,00030002000300100010,100000094200002375300024672
식품>가공식품>음료>차음료/전통음료>쌀/곡물음료,커피/음료>차음료/전통음료>쌀/곡물음료,G마켓,00030002000300100011,100000094200002375300024671
식품>가공식품>음료>차음료/전통음료>식혜/수정과,커피/음료>차음료/전통음료>식혜/수정과,G마켓,00030002000300100012,100000094200002375300012401
식품>가공식품>음료>차음료/전통음료>기타차음료/전통음료,커피/음료>차음료/전통음료>기타차음료/전통음료,G마켓,00030002000300100016,100000094200002375300012402
식품>가공식품>커피/차류>커피/코코아>코코아/핫초코,커피/음료>커피>코코아/핫초코,G마켓,00030002000400010001,100000094200000959300029206
식품>가공식품>커피/차류>커피/코코아>커피믹스,커피/음료>커피>커피믹스,G마켓,00030002000400010002,100000094200000959300010290
식품>가공식품>커피/차류>커피/코코아>커피프림,커피/음료>커피>커피프림,G마켓,00030002000400010003,100000094200000959300010293
식품>가공식품>커피/차류>커피/코코아>원두커피,커피/음료>커피>원두커피,G마켓,00030002000400010004,100000094200000959300029203
식품>가공식품>커피/차류>커피/코코아>캡슐커피,커피/음료>커피>캡슐커피,G마켓,00030002000400010005,100000094200000959300029204
식품>가공식품>커피/차류>커피/코코아>티백커피,커피/음료>커피>티백커피,G마켓,00030002000400010006,100000094200000959300029207
식품>가공식품>커피/차류>차류>녹차,커피/음료>차류>녹차,G마켓,00030002000400030001,100000094200000390300003843
식품>가공식품>커피/차류>차류>홍차,커피/음료>차류>홍차,G마켓,00030002000400030002,100000094200000390300011543
식품>가공식품>커피/차류>차류>율무차,커피/음료>차류>율무차,G마켓,00030002000400030003,100000094200000390300008174
식품>가공식품>커피/차류>차류>전통차,커피/음료>차류>전통차,G마켓,00030002000400030006,100000094200000390300029214
식품>가공식품>커피/차류>차류>보리차,커피/음료>차류>보리차,G마켓,00030002000400030009,100000094200000390300021916
식품>가공식품>커피/차류>차류>결명자차,커피/음료>차류>결명자차,G마켓,00030002000400030011,100000094200000390300029210
식품>가공식품>커피/차류>차류>둥굴레차,커피/음료>차류>둥굴레차,G마켓,00030002000400030012,100000094200000390300008140
식품>가공식품>커피/차류>차류>보이차,커피/음료>차류>보이차,G마켓,00030002000400030014,100000094200000390300029213
식품>가공식품>커피/차류>차류>허브차,커피/음료>차류>허브차,G마켓,00030002000400030016,100000094200000390300010282
식품>가공식품>커피/차류>차류>국화차,커피/음료>차류>국화차,G마켓,00030002000400030017,100000094200000390300003676
식품>가공식품>커피/차류>차류>기타차류,커피/음료>차류>기타차류,G마켓,00030002000400030020,100000094200000390300029211
식품>가공식품>커피/차류>차류>유자차,커피/음료>차류>유자차,G마켓,00030002000400030033,100000094200000390300008173
식품>가공식품>커피/차류>차류>마테차,커피/음료>차류>마테차,G마켓,00030002000400030034,100000094200000390300008168
식품>가공식품>커피/차류>차류>루이보스티,커피/음료>차류>루이보스티,G마켓,00030002000400030035,100000094200000390300029212
식품>가공식품>농산가공식품>냉동과일>아이스블루베리,신선식품>냉동/건과일>아이스블루베리,G마켓,00030002000500010001,100000020200002359300028951
식품>가공식품>농산가공식품>냉동과일>아이스홍시,신선식품>냉동/건과일>아이스홍시,G마켓,00030002000500010002,100000020200002359300028952
식품>가공식품>농산가공식품>냉동과일>아이스망고,신선식품>냉동/건과일>아이스망고,G마켓,00030002000500010006,100000020200002359300028950
식품>가공식품>농산가공식품>냉동과일>기타냉동과일,신선식품>냉동/건과일>기타냉동과일,G마켓,00030002000500010011,100000020200002359300028949
식품>가공식품>농산가공식품>건과일>건바나나,신선식품>냉동/건과일>건바나나,G마켓,00030002000500030001,100000020200002359300028948
식품>가공식품>농산가공식품>건과일>건자두,신선식품>냉동/건과일>건자두,G마켓,00030002000500030002,100000020200002359300024537
식품>가공식품>농산가공식품>건과일>건포도/건망고,신선식품>냉동/건과일>건포도/건망고,G마켓,00030002000500030005,100000020200002359300008323
식품>가공식품>농산가공식품>건과일>곶감/반건시,신선식품>냉동/건과일>곶감/반건시,G마켓,00030002000500030006,100000020200002359300007913
식품>가공식품>농산가공식품>건과일>건무화과/편강,신선식품>냉동/건과일>건무화과/편강,G마켓,00030002000500030011,100000020200002359300024540
식품>가공식품>농산가공식품>건과일>기타건과일,신선식품>냉동/건과일>기타건과일,G마켓,00030002000500030015,100000020200002359300024542
식품>가공식품>농산가공식품>건과일>감말랭이,신선식품>냉동/건과일>감말랭이,G마켓,00030002000500030019,100000020200002359300019249
식품>가공식품>농산가공식품>건채소>고구마말랭이,신선식품>냉동/건과일>고구마말랭이,G마켓,00030002000500040001,100000020200002359300025966
식품>가공식품>농산가공식품>건버섯,신선식품>버섯/나물류>건버섯,G마켓,00030002000500050000,100000020200002357300001908
식품>가공식품>농산가공식품>견과류>호두,신선식품>견과류>호두,G마켓,00030002000500060001,100000020200000734300007998
식품>가공식품>농산가공식품>견과류>아몬드,신선식품>견과류>아몬드,G마켓,00030002000500060002,100000020200000734300007989
식품>가공식품>농산가공식품>견과류>땅콩,신선식품>견과류>땅콩,G마켓,00030002000500060003,100000020200000734300007912
식품>가공식품>농산가공식품>견과류>밤,신선식품>견과류>밤,G마켓,00030002000500060004,100000020200000734300007994
식품>가공식품>농산가공식품>견과류>마카다미아/피스타치오,신선식품>견과류>마카다미아/피스타치오,G마켓,00030002000500060006,100000020200000734300018844
식품>가공식품>농산가공식품>견과류>캐슈넛,신선식품>견과류>캐슈넛,G마켓,00030002000500060008,100000020200000734300024546
식품>가공식품>농산가공식품>견과류>은행,신선식품>견과류>은행,G마켓,00030002000500060010,100000020200000734300028954
식품>가공식품>농산가공식품>견과류>잣,신선식품>견과류>잣,G마켓,00030002000500060011,100000020200000734300024545
식품>가공식품>농산가공식품>견과류>호박씨/해바라기씨,신선식품>견과류>호박씨/해바라기씨,G마켓,00030002000500060012,100000020200000734300018845
식품>가공식품>농산가공식품>견과류>혼합견과류,신선식품>견과류>혼합견과류,G마켓,00030002000500060013,100000020200000734300024547
식품>가공식품>농산가공식품>견과류>기타견과류,신선식품>견과류>기타견과류,G마켓,00030002000500060014,100000020200000734300024548
식품>가공식품>축산가공식품>축산가공육>햄/소시지,가공식품>축산가공식품>햄/소시지,G마켓,00030002000600010001,100000036200002371300024639
식품>가공식품>축산가공식품>축산가공육>베이컨,가공식품>축산가공식품>베이컨,G마켓,00030002000600010003,100000036200002371300028720
식품>가공식품>축산가공식품>축산가공육>닭가공식품,가공식품>축산가공식품>닭가공식품,G마켓,00030002000600010004,100000036200002371300028715
식품>가공식품>축산가공식품>축산가공육>오리훈제,가공식품>축산가공식품>오리훈제,G마켓,00030002000600010005,100000036200002371300028725
식품>가공식품>축산가공식품>축산가공육>육포,가공식품>축산가공식품>육포,G마켓,00030002000600010006,100000036200002371300028726
식품>가공식품>축산가공식품>축산가공육>족발,가공식품>축산가공식품>족발,G마켓,00030002000600010008,100000036200002371300028727
식품>가공식품>축산가공식품>축산가공육>너겟/텐더,가공식품>축산가공식품>너겟/텐더,G마켓,00030002000600010009,100000036200002371300028714
식품>가공식품>축산가공식품>축산가공육>기타축산가공육,가공식품>축산가공식품>기타축산가공식품,G마켓,00030002000600010010,100000036200002371300028712
식품>가공식품>축산가공식품>축산가공육>순대,가공식품>축산가공식품>순대,G마켓,00030002000600010013,100000036200002371300028723
식품>가공식품>축산가공식품>축산가공육>돈까스/탕수육,가공식품>축산가공식품>돈까스/탕수육,G마켓,00030002000600010014,100000036200002371300028717
식품>가공식품>축산가공식품>축산가공육>곱창/막창,가공식품>축산가공식품>곱창/막창,G마켓,00030002000600010016,100000036200002371300028710
식품>가공식품>축산가공식품>축산가공육>꼬치류,가공식품>축산가공식품>꼬치류,G마켓,00030002000600010017,100000036200002371300028713
식품>가공식품>축산가공식품>축산가공육>닭고기양념육,가공식품>축산가공식품>닭고기양념육,G마켓,00030002000600010018,100000036200002371300028716
식품>가공식품>축산가공식품>축산가공육>돼지고기양념육,가공식품>축산가공식품>돼지고기양념육,G마켓,00030002000600010019,100000036200002371300028718
식품>가공식품>축산가공식품>축산가공육>삼계탕,가공식품>축산가공식품>삼계탕,G마켓,00030002000600010020,100000036200002371300028721
식품>가공식품>축산가공식품>축산가공육>소고기양념육,가공식품>축산가공식품>소고기양념육,G마켓,00030002000600010021,100000036200002371300028722
식품>가공식품>축산가공식품>축산가공육>오리고기양념육,가공식품>축산가공식품>오리고기양념육,G마켓,00030002000600010022,100000036200002371300028724
식품>가공식품>축산가공식품>축산가공육>폭립,가공식품>축산가공식품>폭립,G마켓,00030002000600010023,100000036200002371300028728
식품>가공식품>축산가공식품>구운계란/훈제란,가공식품>축산가공식품>구운계란/훈제란,G마켓,00030002000600030000,100000036200002371300028711
식품>가공식품>수산가공식품>건해산물>멸치,신선식품>건어물>멸치,G마켓,00030002000700010001,100000020200001691300008043
식품>가공식품>수산가공식품>건해산물>건오징어/건한치,신선식품>건어물>건오징어/건한치,G마켓,00030002000700010002,100000020200001691300028982
식품>가공식품>수산가공식품>건해산물>건새우,신선식품>건어물>건새우,G마켓,00030002000700010004,100000020200001691300018858
식품>가공식품>수산가공식품>건해산물>황태/북어/코다리,신선식품>건어물>황태/북어/코다리,G마켓,00030002000700010005,100000020200001691300008046
식품>가공식품>수산가공식품>건해산물>쥐포/어포,신선식품>건어물>쥐포/어포,G마켓,00030002000700010006,100000020200001691300028985
식품>가공식품>수산가공식품>건해산물>김,신선식품>김/해조류>김,G마켓,00030002000700010008,100000020200000742300008041
