관리코드,상품명,박스내품,원장단가,원장표기명
01-17,청정원 스페셜 NH2호/3세트(BOX)(32),3,61500,청정원 스페셜 NH2호/3세트(BOX)(32)
01-19-10,청정원 스페셜S호/4세트(BOX)(32),4,4400,청정원 스페셜S호/4세트(BOX)(32)
45-05,CJ스팸6호/4세트(BOX)(40),4,127400,CJ스팸6호/4세트(BOX)(40)
45-07,CJ 복합스페셜 G호/3세트(BOX)(20),3,73500,CJ 복합스페셜 G호/3세트(BOX)(20)
45-07-03,CJ 스팸복합N호/4세트(BOX)(24),4,98000,CJ 스팸복합N호/4세트(BOX)(24)
45-07-05,CJ 복합 I(아이)호/4세트(BOX),4,49000,CJ 복합 I(아이)호/4세트(BOX)
45-07-06,CJ 복합스페셜J호/3세트(BOX)(20),3,73500,CJ 복합스페셜J호/3세트(BOX)(20)
45-07-08,CJ 스팸복합L-3호/5세트(BOX) (24),5,95500,CJ 스팸복합L-3호/5세트(BOX) (24)
45-07-09,CJ 스팸복합L-2/3세트(BOX) (24),3,79500,CJ 스팸복합L-2/3세트(BOX) (24)
45-08,CJ스팸1호/4세트(BOX)(18),4,212000,CJ스팸1호/4세트(BOX)(18)
45-09-01,CJ 스팸복합풍성한S호/3세트(BOX)(20),3,109500,CJ 스팸복합풍성한S호/3세트(BOX)(20)
45-10-01,CJ스팸3호/4세트(BOX)(40),4,166000,CJ스팸3호/4세트(BOX)(40)
45-10-09,CJ 스팸12K호/4세트(BOX)(40),4,78000,CJ 스팸12K호/4세트(BOX)(40)
45-11,CJ 스팸복합1호/5세트(BOX)(24),5,96000,CJ 스팸복합1호/5세트(BOX)(24)
45-12-05,CJ 스팸복합레드라벨/3세트 (24),3,120540,CJ 스팸복합레드라벨/3세트 (24)
45-12-06,CJ 스팸복합 H-2호/5세트(BOX)(32),5,63700,CJ 스팸복합 H-2호/5세트(BOX)(32)
45-18-02,CJ 스팸8K호/5세트(BOX)(40),5,112500,CJ 스팸8K호/5세트(BOX)(40)
45-20-05,애경 마음14호/6세트(BOX) (32),6,57600,애경 마음14호/6세트(BOX) (32)
45-21,CJ스팸8호 / 5세트(BOX) (40),5,107500,CJ스팸8호 / 5세트(BOX) (40)
45-27,CJ 스팸복합2호/4세트(BOX)(32),4,90160,CJ 스팸복합2호/4세트(BOX)(32)
45-28,CJ스팸복합100호 / 3세트(32),3,96000,CJ스팸복합100호 / 3세트(32)
50-20-01,동원올리브김식탁24P/3세트(BOX)(24),3,22500,동원올리브김식탁24P/3세트(BOX)(24)
50-21-01,동원들기름김식탁24P/3세트(BOX)(24),3,22500,동원들기름김식탁24P/3세트(BOX)(24)
50-24-01,동원튜나런천67호/ 4세트(BOX)(30),4,108000,동원튜나런천67호/ 4세트(BOX)(30)
50-32,동원리챔G9호(리챔6호)/5세트(BOX)(32),5,110250,동원리챔G9호(리챔6호)/5세트(BOX)(32)
50-71-02,동원스페셜5호/ 5세트(BOX)(32),5,92500,동원스페셜5호/ 5세트(BOX)(32)
50-71-03,동원프리미엄60호/5세트(BOX)(16),5,110000,동원프리미엄60호/5세트(BOX)(16)
50-71-05,동원 스페셜S호/3세트(BOX),3,78000,동원 스페셜S호/3세트(BOX)
50-71-06,동원 스페셜10호/5세트(BOX),5,90000,동원 스페셜10호/5세트(BOX)
50-72,동원참치M12호/5세트(BOX)(30),5,120000,동원참치M12호/5세트(BOX)(30)
50-72-01,동원참치NS15호/ 6세트(BOX)(30),6,151200,동원참치 S15호/6세트(30)
50-75-02,동원튜나리챔77호(캔57호)/4세트(BOX)(30),4,124000,동원튜나리챔77호(캔57호)/4세트(BOX)(30)
50-75-05,동원 튜나리챔102호/3세트(BOX),3,102000,동원 튜나리챔102호/3세트(BOX)
51-30,동원참치T12호/ 5세트(BOX)(40),5,135000,동원참치T12호/ 5세트(BOX)(40)
51-30-01,동원참치T14호/5세트(BOX)(30),5,154000,동원참치T14호/5세트(BOX)(30)
51-30-02,동원참치T21호/ 3세트(BOX)(32),3,141750,동원참치T21호/ 3세트(BOX)(32)
51-30-03,동원참치T18호 / 3세트(BOX)(32),3,121500,동원참치T18호 / 3세트(BOX)(32)
51-31,동원참치S12호/6세트(BOX)(40),6,120960,동원참치S12호/6세트(BOX)(40)
55-08,정관장 홍삼원50ml/5세트(BOX)(32),5,81000,정관장 홍삼원50ml/5세트(BOX)(32)
83-62,사조 안심특선88호/4세트(BOX),4,64800,사조 안심특선88호/4세트(BOX)
50-72-05,동원참치 S15호/6세트(30),6,148500,동원참치 S15호/6세트(30)
