관리코드,상태,촉진,비고,갱신일
01-17,추가입고없음,,일단 판매 (사용자 2026-09-08),2026-09-08
45-07,판매중지,,G호 — 이미 판매중지 (사용자 2026-09-08),2026-09-08
45-07-03,판매중,,N호 — 추가입고 가능 (입고가능여부표 2026-09-08),2026-09-09
45-07-06,판매중,Y,"J호 — 촉진 · 조달 계속됨(공급처 4,600박스, 이월 위험 아님) (사용자 2026-09-09)",2026-09-09
45-08,판매중,,스팸1호 — 추가입고 가능 (입고가능여부표 2026-09-08),2026-09-09
45-10-09,판매중,,스팸12K호 — 추가입고 가능 · 재고 음수(전표 지연) (입고가능여부표 2026-09-08),2026-09-09
45-18-02,판매중,,스팸8K호 — 추가입고 가능 (사용자 2026-09-09),2026-09-09
45-21,판매중,,스팸8호 — ESM 판매 재개 · 재고 부족 시 8K호(45-18-02) 대체 출고 (사용자 2026-09-10),2026-09-10
45-28,추가입고없음,,복합100호 — 추가입고 불가 (입고가능여부표 2026-09-08),2026-09-09
50-20-01,판매중지,,"올리브김 — 재입고 없음, 판매중지 (사용자 2026-09-08)",2026-09-08
50-21-01,추가입고없음,,들기름김 — 추가입고 없음 (사용자 2026-09-08),2026-09-08
50-71-02,판매중지,,"동원스페셜5호 — 품절, 판매중지 (사용자 2026-09-09)",2026-09-09
50-71-03,추가입고없음,,품절 · 재입고 예정 없음,2026-09-08
50-71-05,판매중지,,스페셜S호 — 품절 내림 (입고가능여부표 2026-09-08),2026-09-09
50-71-06,추가입고없음,,동원 스페셜10호 — 추가입고 없음 (사용자 2026-09-09),2026-09-09
50-72,추가입고없음,,참치M12호 — 추가입고 불가 (입고가능여부표 2026-09-08),2026-09-09
50-75-02,추가입고없음,,튜나리챔77호 — 재고 0 · 추가입고 불가 시 품절 처리 필요(확인 대기) (입고가능여부표 2026-09-08),2026-09-09
50-75-05,추가입고없음,,튜나리챔102호 — 추가입고 불가 (입고가능여부표 2026-09-08),2026-09-09
51-30,,Y,"T12호 — 판매 부진, 촉진",2026-09-08
51-30-01,,Y,"T14호 — 판매 부진, 촉진",2026-09-08
51-30-02,,Y,"T21호 — 판매 부진, 촉진",2026-09-08
51-30-03,,Y,"T18호 — 판매 부진, 촉진",2026-09-08
55-08,판매중지,,정관장 홍삼원50ml — 품절·재입고 없음 (사용자 2026-09-08),2026-09-08
83-62,판매중지,,사조 안심특선88호 — 품절·재입고 없음 (사용자 2026-09-08),2026-09-08
