상품번호,합포량,채널
2277016803,4,esm
2022215410,4,esm
2277025841,4,esm
2277034384,4,esm
2221728014,4,esm
2022218323,4,esm
2028164139,3,esm
2206894498,2,esm
2235189410,0.2,esm
2035514823,3,esm
2022267419,3,esm
2026708900,2,esm
2026697900,2,esm
2029360301,3,esm
2022216744,4,esm
2022276562,3,esm
466348,0.166666,식봄
5775109056,0.2,11번가
5775109055,0.2,11번가
5775109054,0.2,11번가
5775154502,0.166666,11번가
5775109057,0.2,11번가
5833679116,4,11번가
5833679076,4,11번가
5833679065,4,11번가
5833679054,4,11번가
2277039961,4,esm
2235197135,0.2,esm
2235194019,0.2,esm
2235186522,0.2,esm
2204688644,0.25,esm
2418381226,0.25,esm
2418380934,0.2,esm
2418380803,0.2,esm
2418380086,0.2,esm
2418379967,0.2,esm
2418381017,4,esm
2418380542,4,esm
2418380183,4,esm
2418379858,4,esm
2418379770,4,esm
2421673476,2,esm
2429850684,2,esm
2429850685,2,esm
2429850686,2,esm
2429850683,2,esm
2429850958,2,esm
2429893204,2,esm
2429851077,2,esm
2429893229,3,esm
2429850866,2,esm
2429850690,2,esm
2429850689,2,esm
2429850884,4,esm
2429851776,2,esm
2429850937,2,esm
2429855199,2,esm
2429850890,2,esm
2429854282,2,esm
2429851621,3,esm
2429850692,2,esm
2429850863,2,esm
2429850748,4,esm
2429851151,2,esm
2429851007,2,esm
2429850880,2,esm
2429855419,2,esm
2429854802,2,esm
2429851589,2,esm
2429850965,4,esm
2429850878,2,esm
2429851846,2,esm
2429854290,2,esm
2429851058,4,esm
2429850942,2,esm
2429893217,2,esm
2429854544,2,esm
2429851786,2,esm
2429851337,2,esm
2429851371,2,esm
2429851321,2,esm
2429851647,2,esm
2429850763,2,esm
2429851175,2,esm
2429850868,2,esm
2429851598,2,esm
2429850956,2,esm
2429893297,2,esm
2429893293,2,esm
2429851057,2,esm
2429855996,2,esm
2429851670,2,esm
2429851869,2,esm
2429851697,2,esm
2429855330,2,esm
2429850973,2,esm
2429850914,2,esm
2429851263,2,esm
2429893212,2,esm
2429851369,2,esm
2429854182,2,esm
2429851187,2,esm
2429854916,2,esm
2429851679,3,esm
2429850758,4,esm
2429893290,2,esm
2429854276,2,esm
2429893216,2,esm
2429854854,2,esm
2429851434,2,esm
2429854452,2,esm
2429893306,3,esm
2429851236,2,esm
2429855685,2,esm
2429855238,2,esm
2429893208,2,esm
2429893313,2,esm
2429893301,2,esm
2429851595,2,esm
2429851143,2,esm
2429851417,2,esm
2429893372,2,esm
2429851235,2,esm
2429893287,2,esm
2429854389,2,esm
2429893376,3,esm
2429851060,2,esm
2429851472,2,esm
2429893391,2,esm
2429893361,2,esm
2429893389,2,esm
2429894688,3,esm
2429851363,2,esm
2429893292,2,esm
2429893578,2,esm
2429893491,2,esm
2429893492,3,esm
2429893493,2,esm
2429893553,3,esm
2429893377,2,esm
2429894535,3,esm
2429893461,3,esm
2429854612,2,esm
2429894620,3,esm
2429851864,2,esm
2429893618,3,esm
2429893215,2,esm
2429893218,2,esm
2429851264,2,esm
2429893487,2,esm
2429893655,3,esm
2429893641,3,esm
2429893974,3,esm
2429893539,3,esm
2429894186,3,esm
2429894295,2,esm
2429893891,3,esm
2429893666,2,esm
2429894003,3,esm
2429893569,3,esm
2429894048,3,esm
2429893744,3,esm
2429893465,3,esm
2429893667,3,esm
2429893911,2,esm
2429893651,3,esm
2429893756,2,esm
2429894137,3,esm
2429893825,2,esm
2429893581,2,esm
2429893592,2,esm
2429893711,3,esm
2429893787,3,esm
2429893947,3,esm
2429894274,3,esm
2429893706,3,esm
2429893677,2,esm
2429893394,2,esm
2429893765,3,esm
2429893547,3,esm
2429893401,3,esm
2429893623,2,esm
2429894075,3,esm
2429894359,2,esm
2429893715,2,esm
2429893791,3,esm
2429893490,3,esm
2429893458,2,esm
2429893786,3,esm
2429894452,3,esm
2429894100,3,esm
2429893568,3,esm
2429893853,3,esm
2190315325,1,esm
2432745885,3,esm
2432695088,2,esm
2432695465,2,esm
2432746083,2,esm
2432694215,4,esm
2432694197,2,esm
2432694205,2,esm
2432694200,2,esm
2432745769,2,esm
2432695247,2,esm
2432699349,2,esm
2432695455,2,esm
2432694971,2,esm
2432694974,2,esm
2432694955,2,esm
2432694932,2,esm
2432694899,2,esm
2432694893,2,esm
2432694884,2,esm
2432694881,2,esm
2432694886,2,esm
2432694870,2,esm
2432694824,2,esm
2432694783,2,esm
2432694772,2,esm
2432694780,2,esm
2432694765,2,esm
2432694770,2,esm
2432694714,2,esm
2432694685,2,esm
2432694672,2,esm
2432694659,2,esm
2432694654,2,esm
2432694644,2,esm
2432694633,2,esm
2432694576,2,esm
2432694544,2,esm
2432694542,2,esm
2432694526,4,esm
2432745763,2,esm
2432694513,2,esm
2432694504,2,esm
2432694507,2,esm
2432694469,2,esm
2432694450,4,esm
2432694434,2,esm
2432694430,4,esm
2432695785,2,esm
2432694409,2,esm
2432694339,2,esm
2432695312,2,esm
2432694340,1,esm
2432694314,2,esm
2432694310,2,esm
2432694304,2,esm
2432694301,2,esm
2432745772,2,esm
2432695563,3,esm
2432695227,2,esm
2432695152,2,esm
2432695003,2,esm
2432746041,2,esm
2432745887,2,esm
2432745761,2,esm
2432695091,2,esm
2432695296,2,esm
2432695189,2,esm
2432699564,2,esm
2432745879,2,esm
2432695387,2,esm
2432699255,2,esm
2432695178,2,esm
2432745890,2,esm
2432695402,3,esm
2432745783,2,esm
2432695934,2,esm
2432695557,4,esm
2432746044,2,esm
2432745765,2,esm
2432699472,2,esm
2432745767,2,esm
2432746048,2,esm
2432745961,2,esm
2432695017,2,esm
2432746070,2,esm
2432745889,2,esm
2432695491,2,esm
2432694999,2,esm
2432746134,3,esm
2432746059,2,esm
2432746072,2,esm
2433423928,2,esm
2432745886,3,esm
2432746322,3,esm
2432746219,2,esm
2432746228,3,esm
2432746231,3,esm
2432746132,2,esm
2432747034,3,esm
2432746185,3,esm
2432695679,2,esm
2432747119,3,esm
2432695365,2,esm
2432746375,3,esm
2432745871,2,esm
2432745787,2,esm
2432746225,3,esm
2432746433,3,esm
2432746389,2,esm
2432746706,3,esm
2432746257,3,esm
2432746805,3,esm
2432746840,3,esm
2432746660,3,esm
2432746451,3,esm
2432746729,2,esm
2432746319,3,esm
2432746747,3,esm
2432746514,3,esm
2432746210,2,esm
2432746424,3,esm
2432746666,2,esm
2432746408,3,esm
2432746523,3,esm
2432746800,3,esm
2432746619,2,esm
2432746339,3,esm
2432746293,3,esm
2432746471,3,esm
2432746554,3,esm
2432746678,3,esm
2432746824,3,esm
2432746406,3,esm
2432746479,3,esm
2432746135,2,esm
2432746530,3,esm
2432746291,3,esm
2432746144,2,esm
2432746306,3,esm
2432746743,3,esm
2432746940,3,esm
2432746486,2,esm
2432746239,3,esm
2432746166,2,esm
2432746982,3,esm
2432746763,2,esm
2432746304,3,esm
2432694194,2,esm
2432694196,2,esm
2432694190,2,esm
2432746578,2,esm
2432746647,2,esm
2432746553,3,esm
2432746303,2,esm
2432695073,2,esm
293717,0.6666666666666666,배민
293718,0.5,배민
293708,0.5,배민
251196,0.8333333333333334,배민
293721,0.8333333333333334,배민
293716,0.8333333333333334,배민
293701,0.8333333333333334,배민
293714,0.3333333333333333,배민
293712,0.6666666666666666,배민
293713,0.5,배민
293727,0.6666666666666666,배민
293726,0.8333333333333334,배민
293711,0.8333333333333334,배민
293702,0.6666666666666666,배민
293715,0.16666666666666666,배민
293704,0.3333333333333333,배민
293703,0.5,배민
293719,0.3333333333333333,
293724,0.3333333333333333,
293723,0.5,
293728,0.5,
293725,0.16666666666666666,
293722,0.6666666666666666,
293730,0.16666666666666666,
293729,0.3333333333333333,
293720,0.16666666666666666,
293710,0.16666666666666666,
293705,0.16666666666666666,
293707,0.6666666666666666,
293709,0.3333333333333333,
2521189846,0.8333333333333334,esm
2521359412,2,esm
2521091926,0.833,esm
2521304614,3,esm
2521359729,2,esm
2521091835,0.833,esm
2521190163,0.833,esm
2521190380,0.833,esm
2521190342,0.833,esm
2521190259,0.833,esm
2521304619,2,esm
2521359574,2,esm
2521189851,0.833,esm
2521359717,2,esm
2521304724,2,esm
2521304756,2,esm
2521304723,2,esm
2521359309,2,esm
2521359552,2,esm
2521359315,2,esm
2521304767,2,esm
2521359446,2,esm
2521304890,2,esm
2521304751,2,esm
2521359318,2,esm
2521304616,2,esm
2521304738,2,esm
2521304899,2,esm
2521359454,3,esm
2521359319,3,esm
2521304607,2,esm
2521304615,3,esm
2521304860,2,esm
2521359302,3,esm
2521359303,2,esm
2521359520,2,esm
2521304842,3,esm
2521304782,2,esm
2521304944,3,esm
2521304604,2,esm
2521359457,2,esm
2521359556,2,esm
2521304879,2,esm
2521359563,2,esm
2521359452,2,esm
2520957050,0.833,esm
2521359306,3,esm
2521359321,2,esm
2521305036,2,esm
2521304618,3,esm
2521091934,0.833,esm
2520956780,0.833,esm
2521092000,0.833,esm
2521359461,3,esm
2521304612,3,esm
6168967078,0.833,11번가
6168966991,0.833,11번가
6168967025,0.833,11번가
6168966993,0.833,11번가
6168966673,0.833,11번가
6168966745,0.833,11번가
293706,0.833,배민
64cb346bc0f3a909d13acec3,2,
64cb342c30d4e29a7df102be,3,
64cb342b6f44275e109270ae,3,
64cb3428ef97b19f68f23796,2,
64cb34219026f8f07b8b16d5,3,
64cb3405caf83637909d5a8b,3,
64cb33ca6f44275e10926c42,2,
64cb33bdc0914e9b07ce40e6,2,
64cb33b93b5274f47f69a2cc,2,
64d30827ef25dddd7a000d23,2,
64d3388386cac5d1acb14efd,4,
64d330cc430ea18c8ad30699,3,
64d30231ff814d36d8f246c7,2,
64d339d700503e96e6b3897e,4,
64d3185825609c8d3d4a2848,2,
64d3092ce052cefcc8450db4,2,
64d307b7e6a06c03a64dffd2,2,
64d3324dc7da5aa504f8cece,3,
64cb35c0265e9847f8b9b8b0,4,
64d1e55f704f40ad3d49ac98,2,
64d1dd9eba16bbed1b5e153f,2,
64d2eb6c689421455f524c9e,2,
64d2f088d58c946a9adf7aa4,2,
64cb3534e57657122088a7d0,3,
64cb35364ccf7fca319675ff,3,
64cb35c3d4693e1a5ceb3879,4,
64cb35c249300bea8fb66287,4,
64cb35331216b939f7ffffd3,3,
64d1efa76892397c2efd8e6f,2,
64cb35453b2f7c518768bcdb,2,
64d1d7ac9591f9c197fe9851,2,
64d1d1150c0a89b7d5b5c707,2,
64d1e120dc0d937bde5dbbb9,2,
64d1e0c746a47a3efde0d036,2,
64d33120c449f1c31510463b,3,
64d3300304c63f23a82e1f37,3,
64d3377b8f8acb898538fd8f,3,
64d2ec86d58c946a9adf3e69,2,
64d33a2a7f28ecef621f8784,10,
64d31c90f9c3d2abcde71631,2,
64cb3541edd9edcecce01df6,2,
64d32a29e9bc8b4ff33a4d7e,3,
64d3343958a6bc1a2d163146,3,
64d2ee676cebcbc109cf7701,2,
64cb3543e6af34d9914c300d,2,
64cb35401c234b7a1b1e42c9,2,
64d3274f20f20d8e60caef15,3,
64cb35a0ae6ffcd5181f73d9,4,
64d32b8539ef6374627fe445,3,
64d1e04c3f18f0b35a63fd3e,2,
64d33904aaf74fb15378d5ea,4,
64d1e519f31169a7c93aec39,2,
64d333102e16468ffe9f5d1d,3,
64d1d9b7adc13f25f2c1444f,2,
64d1dcac704f40ad3d492be5,2,
64d31c44d9d2e688e379b735,2,
64d3393cc90a99b3fc1572ea,4,
64d2ef6e35f8722642e43b07,2,
64cb352b6c15284c1c0b520b,2,
64d31482679a7ba6974009bc,2,
64d3171c93c3d166fcec128b,2,
64d1e4ce59b060216acbeffa,2,
64d317cbaa16bdfe1680a26b,2,
64d3007e4ca5e97e857d9d35,2,
64d3208a15e27a00da727aab,2,
64d2ffe0cba59c106f5c1be5,2,
64d30881f8bceb7f0c41629e,2,
64d1e002bb0a010781915a34,2,
64d1dfbaa9122faa1d7cbc22,2,
64d3196da2cf3612e4c3cd68,2,
64d3299f228f11008352c990,3,
64d31d4fdc67e4f3d3623fb0,2,
64d306ce2f6485fa61105bec,2,
64d32494593632a3d5af5dec,3,
64d31d92438c7bb9f3dda015,2,
64d338c9ac06a2c6259db225,4,
64d1df1e02bbb409b815db1e,2,
64d1df6b8365ea94c044cfc0,2,
64d31ced29f703b5efc5c257,2,
64d314250775bc4655d95968,2,
64d2f19d926103d3efa6f946,2,
64d300280c29507969cb7c37,2,
64d32ab64f45dd86da4ef9d7,3,
64d307515da74a6812da5460,2,
64d301e5317b7edf6ff6eaa8,2,
64cb3548f4ae98944639f190,3,
64d1d975619608823c388845,2,
64d1d93b59b060216acb43f9,2,
64d1ef33599cb6da88d1e9ad,2,
64d1eed9600eeb5e67b47212,2,
64cb35229b2d4a95557fafcd,4,
64cb3528c9e276418d4b5304,4,
64cb3525877cb699ec520a96,2,
64d1dd10fbf7ba662beb0c6d,2,
64d1d672da696d0f22ee5bb0,2,
64d1d174da696d0f22ee0e16,2,
64d1ddee95d52bab33f709e7,2,
64d1de9ef73a83ff216bada4,2,
64d1d56ddbf67e09556e4096,2,
64d1d4b9f22889757ac4a593,2,
64d1e44b3e8c477dc1194a88,2,
64d1d209b53bc42a8cd91bdd,2,
64d1e1aa7c6944f94d99b13d,2,
64d1e23c4b212a838774f5ea,2,
64cb352ec9e433bf622c650c,3,
64d33401a9132b125dccc8f3,3,
64d321318bbf5681beff01ef,2,
64d302f0b19b0f378bbccccb,2,
64d2f1349ed64b7ffa724882,2,
64d1e5b913fa3bdaf0566374,2,
64d317858e7e654cc6d0557c,2,
64d1dee1454a050851cba6a9,2,
64d3204ff8bceb7f0c42bf43,2,
64d33397db421d67e8aa1890,3,
64d3320239ef6374628044c3,3,
64cb35abf099112a2ed32b55,4,
64d321d95b59d9c77fe62b7d,2,
64d318a12313448d23a779d8,2,
64cb352f4f211cfa8e49d884,3,
64cb35967d3d2991d3d11d92,4,
64cb3597bfcf7cfdabf28b03,4,
64cb359b71d9f152be6ff71f,4,
64d3384877d0b450a5a2979e,4,
64d33806bc957fa0926101eb,4,
64d302911408bed69f669f21,2,
64d3328867336dab673f07fb,3,
64d2e8410434fbe420fc1917,2,
64d32bc743c94b38d751a9f7,3,
64d32a6bbc9cbe89c1d15d1c,3,
64d32c4332be2adad440ceec,3,
64d32afa075cdb0139cec0d0,3,
64d324577dc7b595e8a36de8,3,
64d328a420ab0a562326b462,3,
64cb35aee01bceb939b874b5,4,
64cb35b21a75e634d8fae66f,4,
64cb35b3b96e45f13ae67ad3,4,
64d2e7aea19ad14a7503b0bd,2,
64cb352cf51bfe9889c2a137,4,
64d321862a9f9f721e4f192c,2,
64d2e75ed74556fdcf7d4037,2,
64cb353dd3227715ff6ea573,2,
64d1f3d3da696d0f22f00d5b,2,
64cb353292fdbe025265fb07,3,
64d3335afae7bee844bd8f1f,3,
64d2ef23fec872ae6c9c414a,2,
64d2f03915a3794078d54dd0,2,
64d337bef6a6c70e10efddfe,4,
64d32913911de37a5fd9848e,3,
64d2efdb4c1c702d4eab207f,2,
64d3240d7941d740acd61739,3,
64d303ff14d0b661d75d6d9d,2,
64d3222e0d022331eec4fd99,3,
64d323ccab55c57e572c22b6,3,
64cb351e12091e97c2fce1ff,3,
64cb3521e7312df9c868e253,4,
64d1d61002bbb409b815589f,2,
64cb353e2d73c62e6cdbe81d,2,
64d329ea083c1174d222a2cf,2,
64d1d4840c0a89b7d5b5fcdd,2,
64d1cf465f0c6c9a739d4d3d,2,
64d332d30dcfe66f7fe6be31,3,
64d327073477a86b97e1d4d6,3,
64d3295c2d61118d2c4352c7,3,
64d1cf9d0fd3f3cfca09d4a7,2,
64cb353756ed7998bdc47512,3,
64d1d28c363199614ac56039,2,
64d1d731b53bc42a8cd965ef,2,
64cb353beb16b623d65f9db5,2,
64cb353a98640d7bd4b62499,2,
64d320d89ed64b7ffa75092a,2,
64d1ce5887ce67c6d97abfc9,2,
64d1cedc3afebafeb3e328b5,2,
64cb3520ad973e39ff22d6bc,3,
64d31e8bca37010a42457b04,2,
64d31f0dd24eb3b5eddfe166,2,
64d31ff90b6f7f38a81c0afe,2,
64cb353847a1d09bc459ec9d,2,
64d31fad35d921a5384dddc3,2,
64d33188e2384342e08dca02,3,
64d2ff7b8e062f4d58ba39e2,2,
64d2eb0fdacf8740338fbfb8,2,
64d1f079852777843cd8b735,2,
64d1f02337e819e5ea34d095,2,
64d308c2ba7ac2539084ad95,2,
64d31dda92d2c34bb4984409,2,
64d32d6104c63f23a82df8b7,3,
64d32ea839ef63746280113f,3,
64d32cd5ae244490b458dac2,3,
64cb34250060da0127916264,0.25,
64cb33f2c9e433bf622c4f18,0.1666,
64cb33b773428b7e044f8503,0.25,
64cb33ac2a3ffc74a327f40a,0.2,
64cb33aabbd370db9742c7f8,0.2,
64cb33a8e37073f21b14260e,0.2,
64cb33a7c9e276418d4b3a08,0.2,
64cb33a650ad9c6cb54258b2,0.2,
64cb338dba5face4dae043a8,0.25,
64cb34badc8fd7dccddc22f6,0.5,
64d3398afd81f1662248481f,4,
64cb359d147d3093e387af98,4,
64e30822bfc34b5ea707956e,2,
64e30720c8f68c1d5d9a2c9e,2,
64e30861d3d71e2f8a2bacb8,2,
64e303d01d3d8e5790deb21f,3,
64e308a60d2dd2624dc6641b,2,
64e3038ccc13e183980aa72a,3,
64e307a147a0c142351e044c,2,
64e307e39b7dd7e8cfaa71cd,2,
64e3075eda0efd2c6f1d7143,2,
64e30329cff6794f8b1140cf,3,
64e302de64734a2ecb5a5502,3,
64e306e4e42ce4c606f08e9a,2,
64e306ac6232dac104a11638,2,
64e302789b7dd7e8cfaa205d,4,
64e3066eaa7ce059891df61d,2,
2549280999,0.2,
2549579086,0.25,
2549281002,0.25,
2549525200,0.375,
2549306702,0.25,
2549525195,0.75,
2549280998,0.25,
2549525066,0.5,
2549525153,0.875,
2549525183,0.5,
2549525181,0.25,
2549525372,0.75,
2549525375,0.75,
2549579729,0.375,
2549281146,0.25,
2549281124,0.25,
2549525059,0.5,
2549281003,0.3333333333333333,
2549525074,0.5,
2549281007,0.25,
2549525064,0.4,
2549525166,0.75,
2549525063,0.6666666666666666,
2549525060,0.5,
2549525373,0.6,
2549525465,0.5,
2549579082,0.25,
2549281006,0.125,
2549525376,0.5,
2549579090,0.25,
2549579089,0.5,
2549579327,0.5,
2549579589,0.75,
