상품번호,코드,상품명,판매가,정가,배송비,즉시할인,포인트,바코드,오퍼코드,옵션코드
1005010803425192,50-75-02,튜나리챔77호 1세트 리챔 명절 추석 선물세트,38200.0,0.0,0.0,0.0,0.0,,,
1005008522791617,11-40,동원참치기획 [살코기100g x4+고추100g x4] 10박스 총 80개입,128000.0,0.0,0.0,0.0,0.0,,,
1005007008647048,15-07,사조 마일드 참치 200g 36개,200000.0,0.0,0.0,0.0,0.0,,,
1005007008286560,11-21-02,동원 살코기 참치 1.88K(덕용) 6개,200000.0,0.0,0.0,0.0,0.0,,,
1005007043855086,46-04-01,동표 을지로골뱅이 230g 24개,128700.0,0.0,0.0,0.0,0.0,,,
1005007044147732,14-02-02,펭귄 고등어 통조림 400g 24개,69100.0,0.0,0.0,0.0,0.0,,,
1005007044501034,10-04,유동 꽁치 통조림 400g 24개,74300.0,0.0,0.0,0.0,0.0,,,
1005007517360521,51-31,동원참치 S12호 6세트 명절 추석 선물세트,144400.0,0.0,0.0,0.0,0.0,,,
1005009937737811,51-30-01-0,동원참치 T14호 5세트 선물세트,175400.0,0.0,0.0,0.0,0.0,,,
1005009943356500,51-30-01,동원참치 T14호 1세트 선물세트,37900.0,0.0,0.0,0.0,0.0,,,
1005007008467096,14-01,펭귄 꽁치(한마리) 400g 24개,92000.0,0.0,0.0,0.0,0.0,,,
1005007008463288,46-04-02,동표을지로골뱅이140g,178700.0,0.0,0.0,0.0,0.0,,,
1005009943259845,51-30-03,동원참치 T18호 1세트 선물세트,48700.0,0.0,0.0,0.0,0.0,,,
1005009937877038,51-30-03,동원참치 T18호 3세트 선물세트,139000.0,0.0,0.0,0.0,0.0,,,
1005010803710327,51-30,동원참치 T12호 5세트 명절 추석 선물세트,148400.0,0.0,0.0,0.0,0.0,,,
1005007008613003,14-12,HC꽁치 400g(강구나루) 24개,70400.0,0.0,0.0,0.0,0.0,,,
1005007043250075,10-14,유동 뚝배기 번데기탕(얼큰한 맛) 280g 24개,43300.0,0.0,0.0,0.0,0.0,,,
1005007042874929,10-14-02,유동 뚝배기번데기탕(구수한맛) 280g 24개,43300.0,0.0,0.0,0.0,0.0,,,
1005007043095563,10-29,유동 번데기 280g 24개,39100.0,0.0,0.0,0.0,0.0,,,
1005007043202172,10-07,유동 번데기 130g 48개,41900.0,0.0,0.0,0.0,0.0,,,
1005007043178555,10-02,유동 자연산골뱅이 140g 48개,187200.0,0.0,0.0,0.0,0.0,,,
1005008522619875,08-37-05,백설 고소함가득 참기름 430ml,65200.0,0.0,0.0,0.0,0.0,,,
1005007008221784,10-01,유동 자연산골뱅이 230g 24개,147600.0,0.0,0.0,0.0,0.0,,,
1005007043958047,14-10,펭귄 황도 슬라이스 400g 24개,36000.0,0.0,0.0,0.0,0.0,,,
1005007043858234,14-04,펭귄 백도 2절 400g 24개,42300.0,0.0,0.0,0.0,0.0,,,
1005007850567491,11-05-02,펭귄 김치꽁치 380g 24개,114200.0,0.0,0.0,0.0,0.0,,,
1005007043625844,11-16,동원 자연산골뱅이 140g 48개,153400.0,0.0,0.0,0.0,0.0,,,
