상품번호,코드,상품명,판매가,정가,배송비,즉시할인,포인트,바코드,오퍼코드,옵션코드,수수료raw,옵션번호,옵션명
739375,31-22-02,코라콜라 제로 업소용 355ml 48개,38000.0,44000.0,3000.0,0.0,0.0,,,,4.5,1447356,코라콜라 제로 업소용 355ml 48개
739373,27-36,펩시콜라 355ml(업소용) 48개,29900.0,29900.0,3000.0,0.0,0.0,,,,4.5,1447354,펩시콜라 355ml(업소용) 48개
739366,31-03-05,코카콜라 355ml(업소용) 48개,38300.0,47900.0,3000.0,0.0,0.0,,,,4.5,1447346,코카콜라 355ml(업소용) 48개
569104,23-13-01,웅징 아침햇살 고구마 500ml 20개,24500.0,30500.0,3000.0,0.0,0.0,,,,4.5,1106029,웅징 아침햇살 고구마 500ml 20개
569103,23-13-02,웅진 아침햇살 옥수수 500ml 20개,24500.0,30500.0,3000.0,0.0,0.0,,,,4.5,1106028,웅진 아침햇살 옥수수 500ml 20개
569102,31-05-001,코카콜라제로(업소) 1.25L 12개,17600.0,22700.0,3000.0,0.0,0.0,,,,4.5,1106027,코카콜라제로(업소) 1.25L 12개
569100,24-35-03,티오피 더블랙 380ml 24개,29000.0,35000.0,3000.0,0.0,0.0,,,,5,1106025,티오피 더블랙 380ml 24개
569099,24-35-02,티오피 스위트아메리카노 380ml 24개,29000.0,35000.0,3000.0,0.0,0.0,,,,5,1106024,티오피 스위트아메리카노 380ml 24개
569098,24-35-01,티오피 마스터라떼 380ml 24개,29000.0,35000.0,3000.0,0.0,0.0,,,,5,1106023,티오피 마스터라떼 380ml 24개
569096,22-13-03,뽀로로 복숭아 235ml 24개,19400.0,25400.0,3000.0,0.0,0.0,,,,4.5,1106021,뽀로로 복숭아 235ml 24개
569095,24-173,티오피 마스터라떼 275ml 24개,24000.0,30000.0,3000.0,0.0,0.0,,,,5,1106020,티오피 마스터라떼 275ml 24개
569094,24-175,티오피 더블랙 275ml 24개,24000.0,30000.0,3000.0,0.0,0.0,,,,5,1106019,티오피 더블랙 275ml 24개
569093,24-174,티오피 스위트아메리카노 275ml 24개,24000.0,30000.0,3000.0,0.0,0.0,,,,5,1106018,티오피 스위트아메리카노 275ml 24개
569092,24-06-07,티오피 마스터라떼 200ml 36개,24900.0,30900.0,3000.0,0.0,0.0,,,,5,1106017,티오피 마스터라떼 200ml 36개
569091,24-06-08,티오피 스위트아메리카노 200ml 36개,24900.0,30900.0,3000.0,0.0,0.0,,,,5,1106016,티오피 스위트아메리카노 200ml 36개
569090,24-06-09,티오피 더블랙 200ml 36개,24900.0,30900.0,3000.0,0.0,0.0,,,,5,1106015,티오피 더블랙 200ml 36개
569089,23-48.,웅진 자연은 망고 캔 180ml 30개,10200.0,16200.0,3000.0,0.0,0.0,,,,4.5,1106014,웅진 자연은 망고 캔 180ml 30개
569087,35-14,참맑은 복분자 175ml 30개,8900.0,14900.0,3000.0,0.0,0.0,,,,4.5,1106012,참맑은 복분자 175ml 30개
569086,35-18-10,참맑은 비스카페라떼 175ml 30개,9600.0,15600.0,3000.0,0.0,0.0,,,,5,1106011,참맑은 비스카페라떼 175ml 30개
569085,31-17-02,스프라이트 190ml 30개,16000.0,20300.0,3000.0,0.0,0.0,,,,4.5,1106010,스프라이트 190ml 30개
485029,35-18-07,참맑은 사과 175ml 30개,9000.0,15000.0,3000.0,0.0,0.0,,,,4.5,926616,참맑은 사과 175ml 30개
485028,35-18-08,참맑은 배 175ml 30개,9600.0,15600.0,3000.0,0.0,0.0,,,,4.5,926615,참맑은 배 175ml 30개
485027,35-18-09,참맑은 머스캣 175ml 30개,8800.0,14800.0,3000.0,0.0,0.0,,,,4.5,926614,참맑은 머스캣 175ml 30개
477193,22-04-00,비락식혜제로1.5 (48),23900.0,29900.0,3000.0,0.0,0.0,,,,4.5,906775,비락식혜제로1.5 (48)
477192,22-01-06,비락식혜 제로 238ml 24개,12700.0,18700.0,3000.0,0.0,0.0,,,,4.5,906772,비락식혜 제로 238ml 24개
464063,31-03-10,몬스터에너지 355ml 피치킨 24캔,33900.0,39900.0,3000.0,0.0,0.0,,,,4.5,875489,몬스터에너지 355ml 피치킨 24캔
458519,25-01-01-CB-25-02,매일카페라떼 로어슈거 10개 + 카라멜마끼아토 10개 세트상품,25900.0,31900.0,3000.0,0.0,0.0,,,,5,863423,매일카페라떼 로어슈거 10개 + 카라멜마끼아토 10개 세트상품
458518,25-01-CB-25-02,매일카페라떼 마일드 10개 + 카라멜마끼아토 10개 세트상품,25900.0,31900.0,3000.0,0.0,0.0,,,,5,863422,매일카페라떼 마일드 10개 + 카라멜마끼아토 10개 세트상품
