상품번호,코드,상품명,판매가,정가,배송비,즉시할인,포인트,바코드,오퍼코드,옵션코드
46900,53-01,해표 식용유 1.8L 12개,60800.0,78100.0,3000.0,0.0,0.0,,OFR71945130,SKU70638363
46901,08-28,백설 콩식용유 1.8L 10개,48400.0,59800.0,3000.0,0.0,0.0,,OFR77029918,SKU50796347
46903,54-21-03,팔도 비빔면 컵라면 16입,18000.0,23400.0,3000.0,0.0,0.0,,OFR09454257,SKU42049598
46904,22-23-01,팔도 김치왕뚜껑 컵라면 18입,20100.0,26100.0,3000.0,0.0,0.0,,OFR15119749,SKU32732767
46909,11-05-04,동원 고추참치 250g 36개,114400.0,148700.0,3000.0,0.0,0.0,,OFR03822223,SKU17822967
46910,11-41-05,동원참치 (기획) 살코기90g 80개,129100.0,167800.0,3000.0,0.0,0.0,,OFR41322232,SKU93002822
46914,11-73,라리 스위트콘 덕용 2.95kg 5개,31400.0,41860.0,3000.0,0.0,0.0,,OFR27647706,SKU59055794
46916,11-75-02,동서 리치스 블랙 올리브 홀피티드3kg 5개,78100.0,101500.0,3000.0,0.0,0.0,,OFR12030421,SKU08568222
46918,11-74-03,동서 리치스 후르츠칵테일3kg 5개,49000.0,63700.0,3000.0,0.0,0.0,,OFR64041839,SKU17239392
46919,16-01,로스팜 97% 마일드 340g 24개,76000.0,98800.0,3000.0,0.0,0.0,,OFR68260143,SKU84227101
46920,11-74-05,동서 리치스 파인애플슬라이스 3kg 5개,55100.0,71600.0,3000.0,0.0,0.0,,OFR55961682,SKU97326648
46921,39-126-06,오뚜기밥 210g 12개,10300.0,13200.0,3000.0,0.0,0.0,,OFR92304597,SKU18122226
46924,28-53-03,현대 미에로화이바 기획증정용 1.2L 총 12개,15700.0,20400.0,3000.0,0.0,0.0,,OFR95210733,SKU00941350
46925,28-06,미에로화이바 화이브 미니 100ml 100병,60900.0,79200.0,3000.0,0.0,0.0,,OFR55394626,SKU39261139
46926,23-05,웅진 맑게 우려낸 누룽지 500mL 20개,12630.0,16250.0,3000.0,0.0,0.0,,OFR49952520,SKU10744255
46927,29-00,일화 옥수수수염차 340ml 20개,11400.0,14700.0,3000.0,0.0,0.0,,OFR27560506,SKU32752436
46928,23-22,웅진 옥수수수염차 500ml 20개,13400.0,17400.0,3000.0,0.0,0.0,,OFR66242308,SKU18108944
46929,23-35,웅진 헛개차 500ml 20개,13400.0,17400.0,3000.0,0.0,0.0,,OFR62569660,SKU86050876
46932,20-14-02,광동제약 비타500캔 240ml 30개,15800.0,20500.0,3000.0,0.0,0.0,,OFR51276669,SKU78486514
46933,20-05,광동제약 비타500 180ml 40개,32320.0,41600.0,3000.0,0.0,0.0,,OFR21360210,SKU52708054
46934,20-04,광동제약 비타500 100ml 100개,49500.0,64400.0,3000.0,0.0,0.0,,OFR86684144,SKU09891895
46935,38-09-03,동화약품 부채표 까스활 75ml 30개,22900.0,29800.0,3000.0,0.0,0.0,,OFR35919398,SKU06396753
46936,55-01,이노엔 헛개 컨디션 100ml 50개 (바코드없음),110600.0,143800.0,3000.0,0.0,0.0,,OFR11972554,SKU19787405
46938,25-59-03,신형 여명808 119ml 90병 (15개 X 6곽),249500.0,324400.0,3000.0,0.0,0.0,,OFR28926430,SKU07521277
