상품번호,코드,상품명,판매가,정가,배송비,즉시할인,포인트,바코드,오퍼코드,옵션코드
95779926206,01-09-08,"피뉴트 청양마요맛 새우칩, 90g, 14개",18300.0,18300.0,0.0,0.0,0.0,,,
95779926295,01-09-06,"게맛살 새우칩, 6개, 240g",21200.0,21200.0,0.0,0.0,0.0,,,
95779926364,15-245-150-02,"해표 고추맛 기름, 1.8L, 8개",71000.0,71000.0,0.0,0.0,0.0,,,
95779926575,01-09-11,"요구르트 스파클링, 400ml",20500.0,20500.0,0.0,0.0,0.0,,,
95779926543,01-09-04,"게맛살 새우칩, 45개",16200.0,16200.0,0.0,0.0,0.0,,,
95779926596,274-245-10-01,"다인 산농 맛기름, 10개, 1.8L",78000.0,78000.0,0.0,0.0,0.0,,,
95779926604,01-09-01,"갈릭 새우칩, 20g, 45개",16200.0,16200.0,0.0,0.0,0.0,,,
95779926655,213-161-05-01,"상기 쌍노두 소스, 12개, 500ml",63100.0,63100.0,0.0,0.0,0.0,,,
95779926704,01-09-02,"갈릭 새우칩, 14개",18300.0,18300.0,0.0,0.0,0.0,,,
95779926731,01-09-03,"피뉴트 갈릭새우칩, 240g, 6개",21200.0,21200.0,0.0,0.0,0.0,,,
95779926786,123-25-55-1,"명가 메밀칩 카레맛, 160g, 10개",22000.0,22000.0,0.0,0.0,0.0,,,
95779927013,11-05-00,"동원 참치 기획 살코기+고추, 90g, 60개",89200.0,89200.0,0.0,0.0,0.0,,,
95779927111,161-308-02-02,"이금기 프리미엄 굴소스 캔, 6개, 2.268kg",160100.0,160100.0,0.0,0.0,0.0,,,
95779927271,18-311-08-01,삼아 파인애플 원액,35600.0,35600.0,0.0,0.0,0.0,,,
95779927341,26-08-02,눈꽃내리는 자스민티,28400.0,28400.0,0.0,0.0,0.0,,,
95779927347,246-219-30-03,"명진 표고버섯 홀, 6개, 3kg",37200.0,37200.0,0.0,0.0,0.0,,,
95779927366,65-53-01,"푸드킹 메밀칩(버큇칩) 대파맛, 10개, 160g",22000.0,22000.0,0.0,0.0,0.0,,,
95779927616,18-131-30-01,"삼아 완두콩, 6개",35400.0,35400.0,0.0,0.0,0.0,,,
95779927641,246-100-30-02,"명진 죽순 편, 6개, 3kg",30900.0,30900.0,0.0,0.0,0.0,,,
95779927897,18-311-08-02,"키위 원액 삼아 835ml 과일 음료 주스 농축액 엑기스 kka*5120vH, 1개",35600.0,35600.0,0.0,0.0,0.0,,,
95779927892,92-288-86-02,"화남 스위트 잡화꿀청, 8개, 2.4kg",45200.0,45200.0,0.0,0.0,0.0,,,
95779927909,17-33-30-01,"DOLE 파인애플 청크, 3kg, 6개",76500.0,76500.0,0.0,0.0,0.0,,,
95779927931,18-48-04-01,"삼아 키드니빈스 400g 강낭콩 통조림, 24개",33900.0,33900.0,0.0,0.0,0.0,,,
95779927999,26-28,"붉은빛의 우롱티 500ml 24개, 1개",28400.0,28400.0,0.0,0.0,0.0,,,
95779928043,242-327-130-01,부천 몽고 진간장 13L,28600.0,28600.0,0.0,0.0,0.0,,,
95779928289,26-28-01,"봄날의 그린티, 500ml",28400.0,28400.0,0.0,0.0,0.0,,,
95779928285,246-100-30-01,"명진 죽순 홀, 3kg, 6개",30900.0,30900.0,0.0,0.0,0.0,,,
95779928462,18-216-20-01,"삼아 베이크드빈스, 6개, 2.6kg",39900.0,39900.0,0.0,0.0,0.0,,,
95779928555,266-42-20-01,"프라텔리롱고바디 포모도리 필라티 토마토 홀, 2.55kg, 6개",47400.0,47400.0,0.0,0.0,0.0,,,
95779928559,149-100-30-01,"진양 죽순 1호, 3kg, 6개",86900.0,86900.0,0.0,0.0,0.0,,,
95779928574,16-230-10-01,"롯데 미림, 1.8L, 6개",44400.0,44400.0,0.0,0.0,0.0,,,
95779928614,306-69-08-01,"SW 후르츠칵테일, 850g, 12개",39200.0,39200.0,0.0,0.0,0.0,,,
95779928625,92-288-86-01,"화남 스위트 아카시아꿀청, 8개, 2.4kg",45200.0,45200.0,0.0,0.0,0.0,,,
