상품번호,코드,상품명,판매가,정가,배송비,즉시할인,포인트,바코드,오퍼코드,옵션코드,사이트상품번호
6409400060,01-09-06,게맛살 새우칩 240g 6개,19400.0,0.0,3000.0,0.0,0.0,,,,4776326028
6409400054,26-28,붉은빛의 우롱티 500ml 24개,27200.0,0.0,3000.0,0.0,0.0,,,,4776326025
6409400046,65-54-02,푸드킹 찹쌀누룽지과자 무가당 288g 20개,63200.0,0.0,3000.0,0.0,0.0,,,,4776326026
6409400024,01-09-04,게맛살 새우칩 20g 45개,14100.0,0.0,3000.0,0.0,0.0,,,,4776326018
6409400023,24-52,동서 커피믹스 마일드 자판기용 800g 10개,69200.0,0.0,3000.0,0.0,0.0,,,,4776326016
6409400022,123-25-55-1,명가 메밀칩 카레맛 160g 10개,20400.0,0.0,3000.0,0.0,0.0,,,,4776326017
6409400015,65-54-02,푸드킹 찹쌀누룽지과자 달콤 288g 20개,63200.0,0.0,3000.0,0.0,0.0,,,,4776326015
6409400000,01-09-02,갈릭 새우칩 90g 14개,16400.0,0.0,3000.0,0.0,0.0,,,,4776326010
6409399999,01-09-11,요구르트 스파클링 400ml 24개,18700.0,0.0,3000.0,0.0,0.0,,,,4776326009
6409399997,01-09-03,갈릭 새우칩 240g 6개,19400.0,0.0,3000.0,0.0,0.0,,,,4776326007
6409399996,26-08-02,눈꽃내리는 자스민티 500ml 24개,27200.0,0.0,3000.0,0.0,0.0,,,,4776326005
6409399977,01-09-08,청양마요맛 새우칩 90g 14개,16400.0,0.0,3000.0,0.0,0.0,,,,4776325995
6409399978,01-09-10,요구르트 스파클링 라인프렌즈 380ml 12개,19300.0,0.0,3000.0,0.0,0.0,,,,4776325994
6409399975,26-28-01,봄날의 그린티 500ml 24개,27200.0,0.0,3000.0,0.0,0.0,,,,4776325990
6409399974,01-09-01,갈릭 새우칩 20g 45개,14100.0,0.0,3000.0,0.0,0.0,,,,4776325993
6149998049,50-72-01,동원참치 NS15호 6세트 무료배송,190100.0,0.0,0.0,0.0,0.0,,,,4651790893
6149997984,50-75-02,동원튜나리챔 77호 4세트 무료배송,152800.0,0.0,0.0,0.0,0.0,,,,4651790870
6149997919,83-62,사조 안심특선 88호 4세트 무료배송,81900.0,0.0,0.0,0.0,0.0,,,,4651790829
6149997915,83-62-01,사조 안심특선 79호 4세트 무료배송,92600.0,0.0,0.0,0.0,0.0,,,,4651790830
6149988356,50-72-01,동원참치 NS15호 6세트,186600.0,0.0,3000.0,0.0,0.0,,,,4651786120
6149988322,50-75-02,동원튜나리챔 77호 4세트,149300.0,0.0,3000.0,0.0,0.0,,,,4651786107
6149988309,83-62,사조 안심특선 88호 4세트,78400.0,0.0,3000.0,0.0,0.0,,,,4651786103
6149988268,83-62-01,사조 안심특선 79호 4세트,89100.0,0.0,3000.0,0.0,0.0,,,,4651786086
5874812295,01-19-10,청정원 스페셜 S호 1세트 명절 추석 선물세트,14500.0,0.0,3000.0,0.0,0.0,,,,4522956934
5874812196,45-10-09,스팸 12K호 1세트 명절 추석 선물세트,25500.0,0.0,3000.0,0.0,0.0,,,,4522956888
5874812195,45-12-06,스팸 특별한선택 H-2호 1세트 명절 추석 선물세트,17000.0,0.0,3000.0,0.0,0.0,,,,4522956887
5874795408,01-19-10,청정원 스페셜 S호 4세트 명절 추석 선물세트,57000.0,0.0,3000.0,0.0,0.0,,,,4522950835
5874795371,01-17,청정원 스페셜 NH2호 3세트 명절 추석 선물세트,80200.0,0.0,3000.0,0.0,0.0,,,,4522950816
5874795329,45-10-09,스팸 12K호 4세트 명절 추석 선물세트,101200.0,0.0,3000.0,0.0,0.0,,,,4522950802
5874795330,45-12-06,스팸 특별한선택 H-2호 5세트 명절 추석 선물세트,84100.0,0.0,3000.0,0.0,0.0,,,,4522950800
5874788141,01-17,청정원 스페셜 NH2호 1세트 명절 추석 선물세트 무료배송,30400.0,0.0,0.0,0.0,0.0,,,,4522948327
5874788139,01-17,청정원 스페셜 NH2호 3세트 명절 추석 선물세트 무료배송,83700.0,0.0,0.0,0.0,0.0,,,,4522948326
5874788051,45-10-09,스팸 12K호 4세트 명절 추석 선물세트 무료배송,104700.0,0.0,0.0,0.0,0.0,,,,4522948289
5874788036,45-12-06,스팸 특별한선택 H-2호 5세트 명절 추석 선물세트 무료배송,87600.0,0.0,0.0,0.0,0.0,,,,4522948291
5874788054,45-10-09,스팸 12K호 1세트 명절 추석 선물세트 무료배송,29000.0,0.0,0.0,0.0,0.0,,,,4522948292
5874788044,45-12-06,스팸 특별한선택 H-2호 1세트 명절 추석 선물세트 무료배송,20500.0,0.0,0.0,0.0,0.0,,,,4522948287
5874787962,01-19-10,청정원 스페셜 S호 4세트 명절 추석 선물세트 무료배송,59900.0,0.0,0.0,0.0,0.0,,,,4522948267
5874787960,01-19-10,청정원 스페셜 S호 1세트 명절 추석 선물세트 무료배송,17900.0,0.0,0.0,0.0,0.0,,,,4522948266
5734110482,28-43-01,모닝케어 프레스온 밀크씨슬H 106ml 50개 무료배송,107600.0,0.0,0.0,0.0,0.0,,,,4453938538
5734110456,28-22-06,데미소다 청포도 250ml 30개 무료배송,21900.0,0.0,0.0,0.0,0.0,,,,4453938520
5734110383,28-13-01,헬씨올리고 200ml 40개 무료배송,35000.0,0.0,0.0,0.0,0.0,,,,4453938489
5734110152,35-18-11,참맑은 비스 더블랙 175ml 90개 무료배송,33800.0,0.0,0.0,0.0,0.0,,,,4453938402
5734110034,11-05-11,동원 고추참치 기획 135g 60개 무료배송,119200.0,0.0,0.0,0.0,0.0,,,,4453938375
5734110081,22-13,팔도 뽀로로 블루베리 235ml 24개 무료배송,23700.0,0.0,0.0,0.0,0.0,,,,4453938359
5734110069,31-13-02,파워에이드 페트 355ml 40개 무료배송,42800.0,0.0,0.0,0.0,0.0,,,,4453938353
5734109999,31-47-05,환타 제로 포도 350ml 48개 무료배송,39900.0,0.0,0.0,0.0,0.0,,,,4453938317
5734109974,31-47-03,환타 제로 오렌지 350ml 24개 무료배송,21400.0,0.0,0.0,0.0,0.0,,,,4453938301
5734109950,31-47-03,환타 제로 오렌지 350ml 48개 무료배송,39900.0,0.0,0.0,0.0,0.0,,,,4453938290
5734109919,65-53-01,푸드킹 메밀칩 대파맛 160g 10개 무료배송,26700.0,0.0,0.0,0.0,0.0,,,,4453938278
5734109888,31-47-04,환타 제로 파인 350ml 48개 무료배송,39900.0,0.0,0.0,0.0,0.0,,,,4453938248
5734109881,66-07,선푸드 검은깨 쌀 누룽지칩 270g 10개 무료배송,72600.0,0.0,0.0,0.0,0.0,,,,4453938247
5734109866,31-47-04,환타 제로 파인 350ml 24개 무료배송,21400.0,0.0,0.0,0.0,0.0,,,,4453938241
5734109868,31-24-01,닥터페퍼 제로 355ml 24개 무료배송,21400.0,0.0,0.0,0.0,0.0,,,,4453938237
5734109837,28-22-06,데미소다 청포도 250ml 60개 무료배송,40800.0,0.0,0.0,0.0,0.0,,,,4453938233
5734109800,22-13,팔도 뽀로로 블루베리 235ml 48개 무료배송,44400.0,0.0,0.0,0.0,0.0,,,,4453938203
5734109795,35-18-11,참맑은 비스 더블랙 175ml 30개 무료배송,13600.0,0.0,0.0,0.0,0.0,,,,4453938198
5734109783,20-14-03,비타500 캔 240ml 24개 무료배송,17300.0,0.0,0.0,0.0,0.0,,,,4453938191
5734109765,31-47-05,환타 제로 포도 350ml 24개 무료배송,21400.0,0.0,0.0,0.0,0.0,,,,4453938181
5734109724,31-24-01,닥터페퍼 제로 355ml 48개 무료배송,39900.0,0.0,0.0,0.0,0.0,,,,4453938163
5734109714,29-05-02,일화 초정 탄산수 355ml 48캔 무료배송,31700.0,0.0,0.0,0.0,0.0,,,,4453938157
5734109673,31-13-02,파워에이드 페트 355ml 20개 무료배송,22900.0,0.0,0.0,0.0,0.0,,,,4453938135
5734109637,66-01-01,선푸드 고소한 누룽지칩 180g 20개 무료배송,47900.0,0.0,0.0,0.0,0.0,,,,4453938114
5734109632,29-05-02,일화 초정 탄산수 355ml 24캔 무료배송,17300.0,0.0,0.0,0.0,0.0,,,,4453938110
5734086456,66-07,선푸드 검은깨 쌀 누룽지칩 270g 10개,69100.0,0.0,3000.0,0.0,0.0,,,,4453926957
5734083558,66-01-01,선푸드 고소한 누룽지칩 180g 20개,44400.0,0.0,3000.0,0.0,0.0,,,,4453924872
5734077565,31-13-02,파워에이드 페트 355ml 40개,39300.0,0.0,3000.0,0.0,0.0,,,,4453922004
5734077518,28-22-06,데미소다 청포도 250ml 60개,37300.0,0.0,3000.0,0.0,0.0,,,,4453921973
5734077498,31-47-03,환타 제로 오렌지 350ml 48개,36400.0,0.0,3000.0,0.0,0.0,,,,4453921962
5734077491,31-47-05,환타 제로 포도 350ml 48개,36400.0,0.0,3000.0,0.0,0.0,,,,4453921958
5734077455,22-13,팔도 뽀로로 블루베리 235ml 48개,40900.0,0.0,3000.0,0.0,0.0,,,,4453921939
5734077437,29-05-02,일화 초정 탄산수 355ml 48캔,28200.0,0.0,3000.0,0.0,0.0,,,,4453921927
5734077434,31-47-04,환타 제로 파인 350ml 48개,36400.0,0.0,3000.0,0.0,0.0,,,,4453921922
5734077428,65-53-01,푸드킹 메밀칩 대파맛 160g 10개,23200.0,0.0,3000.0,0.0,0.0,,,,4453921918
5734077364,31-24-01,닥터페퍼 제로 355ml 48개,36400.0,0.0,3000.0,0.0,0.0,,,,4453921884
5734077361,28-13-01,헬씨올리고 200ml 40개,31500.0,0.0,3000.0,0.0,0.0,,,,4453921879
5734077360,28-43-01,모닝케어 프레스온 밀크씨슬H 106ml 50개,104100.0,0.0,3000.0,0.0,0.0,,,,4453921887
5734077356,11-05-11,동원 고추참치 기획 135g 60개,115700.0,0.0,3000.0,0.0,0.0,,,,4453921889
5734077362,35-18-11,참맑은 비스 더블랙 175ml 90개,30300.0,0.0,3000.0,0.0,0.0,,,,4453921877
5732189193,35-18-11,참맑은 비스 더블랙 175ml 30개,10100.0,0.0,3000.0,0.0,0.0,,,,4453124503
5732189190,29-05-02,일화 초정 탄산수 355ml 24캔,13800.0,0.0,3000.0,0.0,0.0,,,,4453124504
5732164952,22-13,팔도 뽀로로 블루베리 235ml 24개,20200.0,0.0,3000.0,0.0,0.0,,,,4453114913
5732164924,31-47-05,환타 제로 포도 350ml 24개,17900.0,0.0,3000.0,0.0,0.0,,,,4453114903
5732164925,28-22-06,데미소다 청포도 250ml 30개,18400.0,0.0,3000.0,0.0,0.0,,,,4453114902
5732164847,31-47-03,환타 제로 오렌지 350ml 24개,17900.0,0.0,3000.0,0.0,0.0,,,,4453114880
5732164844,31-47-04,환타 제로 파인 350ml 24개,17900.0,0.0,3000.0,0.0,0.0,,,,4453114873
5732164840,31-24-01,닥터페퍼 제로 355ml 24개,18000.0,0.0,3000.0,0.0,0.0,,,,4453114871
5732164841,31-13-02,파워에이드 페트 355ml 20개,19400.0,0.0,3000.0,0.0,0.0,,,,4453114872
5700109582,15-04-01,스팸 기획 클래식 300g 24개 무료배송,96200.0,0.0,0.0,0.0,0.0,,,,4439682192
5700100017,15-04-01,스팸 기획 클래식 300g 24개,120000.0,0.0,3000.0,0.0,0.0,,,,4439677895
5456695649,23-34-05,웅진 자연은 사과 180ml 90개 무료배송,34500.0,0.0,0.0,0.0,0.0,,,,4324129813
5456695582,BT10EA-28-13,헬씨올리고 100ml 80병 무료배송,43200.0,0.0,0.0,0.0,0.0,,,,4324129789
5456695578,35-07,참맑은 식혜 175ml 90개 무료배송,32400.0,0.0,0.0,0.0,0.0,,,,4324129784
5456695422,BT10EA-55-09,HK이노엔 홍삼진병 100ml 80병 무료배송,38200.0,0.0,0.0,0.0,0.0,,,,4324129709
5456695415,BT10EA-20-04,광동 비타500 100ml 80병 무료배송,46000.0,0.0,0.0,0.0,0.0,,,,4324129708
