상품번호,코드,상품명,판매가,정가,배송비,즉시할인,포인트,바코드,오퍼코드,옵션코드,리테일규격,입수,품절여부
8801007139265,8801007139265,CJ 스팸 클래식 1.81kg,132790.0,132790.0,0.0,0.0,0.0,,,,1.81kg,6,N
8801007636344,8801007636344,CJ 햇반 200g,26360.0,26360.0,0.0,0.0,0.0,,,,10입,3,N
8801007654935,8801007654935,CJ라이온 참그린 녹차 뽀드득 주방세제 1kg,43120.0,43120.0,0.0,0.0,0.0,,,,1k,12,N
TOP1,TOP1,"TOP(티오피) 마스터 / 블랙(275ml,24+24)",46550.0,46550.0,0.0,0.0,0.0,,,,275ml(24+24),48,N
TOP4,TOP4,"TOP(티오피) 마스터 / 블랙(200ml,36+36)",49190.0,49190.0,0.0,0.0,0.0,,,,200ml(36+36),72,N
TOP5,TOP5,"TOP(티오피) 마스터 / 스위트(200ml,36+36)",49190.0,49190.0,0.0,0.0,0.0,,,,200ml(36+36),72,N
TOP2,TOP2,"TOP(티오피) 마스터 / 스위트(275ml,24+24)",46640.0,46640.0,0.0,0.0,0.0,,,,275ml(24+24),48,N
TOP3,TOP3,"TOP(티오피) 아메리카노 / 블랙(275ml,24+24)",46550.0,46550.0,0.0,0.0,0.0,,,,275ml(24+24),48,N
TOP6,TOP6,"TOP(티오피) 아메리카노 / 블랙(200ml,36+36)",46840.0,46840.0,0.0,0.0,0.0,,,,200ml(36+36),72,N
8809756160417,8809756160417,가마치 삼계탕,40500.0,40500.0,0.0,0.0,0.0,,,,1kg*8,8,N
8801861130118,8801861130118,가야 당근 농장 1.5L,30380.0,30380.0,0.0,0.0,0.0,,,,1.5L,12,N
8801861200415,8801861200415,가야 종합 선물세트 (병) 180ml,27040.0,27040.0,0.0,0.0,0.0,,,,180ml*12,4,N
8801861150512,8801861150512,가야 알로에 농장 500ml,24990.0,24990.0,0.0,0.0,0.0,,,,500ml,20,N
8801861130347,8801861130347,웅진 가야 토마토농장 500mL,24690.0,24690.0,0.0,0.0,0.0,,,,500ml,20,N
8806002000893,8806002000893,광동 쌍화골드 100ml,48110.0,48110.0,0.0,0.0,0.0,,,,100ml,100,N
8806002006239,8806002006239,광동 옥수수수염차 캔 180ml,32830.0,32830.0,0.0,0.0,0.0,,,,180ml,90,N
8806002002392,8806002002392,광동 위생천 75ml,42920.0,42920.0,0.0,0.0,0.0,,,,75ml,100,N
8808244201014,8808244201014,광동 제주삼다수 500ml,10870.0,10870.0,0.0,0.0,0.0,,,,500ml,20,N
8808244201045,8808244201045,광동 제주삼다수2L,8700.0,8700.0,0.0,0.0,0.0,,,,2L,6,N
8806002009254,8806002009254,광동 헛개차 캔 180ml,24790.0,24790.0,0.0,0.0,0.0,,,,180ml,90,N
8806002001845,8806002001845,광동제약 비타500 100m,48600.0,48600.0,0.0,0.0,0.0,,,,100ml,100,N
8806002007298,8806002007298,광동제약 비타500 180ml,33020.0,33020.0,0.0,0.0,0.0,,,,180ml,40,N
8809695254222,8809695254222,귀여운 내친구 뽀로로 샤인머스켓맛 235ml,36650.0,36650.0,0.0,0.0,0.0,,,,235ml,48,N
8801069173986,8801069173986,남양 17차 340ml,23810.0,23810.0,0.0,0.0,0.0,,,,340ml,40,N
8801069174020,8801069174020,남양 17차 500ml,15480.0,15480.0,0.0,0.0,0.0,,,,500ml,20,N
8801069400471,8801069400471,남양 과수원 청포도 190ml,22440.0,22440.0,0.0,0.0,0.0,,,,190ml,72,N
8801069179223,8801069179223,남양 맛있는 두유GT검은콩깨 200ml 병,22240.0,22240.0,0.0,0.0,0.0,,,,200,30,N
8801069171067,8801069171067,남양 초코에몽 175ml,35470.0,35470.0,0.0,0.0,0.0,,,,175ml,30,N
