상품번호,코드,상품명,판매가,정가,배송비,즉시할인,포인트,바코드,오퍼코드,옵션코드
13650892980,PC005959,와구마구 옛날 꽈배기 검은깨흑당 500g 1개,4000.0,0.0,3000.0,0.0,0.0,,,
13650892979,PC005960,와구마구 옛날 꽈배기 참깨 500g 1개,4000.0,0.0,3000.0,0.0,0.0,,,
13650892978,PC005128,선한 주스 올리브오일 5L(버진) 1개,59000.0,0.0,3000.0,0.0,0.0,,,
13650892977,PC005696,미드봉 선백후추 70% 400g 1개,6400.0,0.0,3000.0,0.0,0.0,,,
13650892976,PC005814,루글리오 포마스 올리브오일 5L 1개,31800.0,0.0,3000.0,0.0,0.0,,,
13650892975,PC005812,파티니 프리미엄 올리브 블렌드오일 5L 1개,23500.0,0.0,3000.0,0.0,0.0,,,
13650892974,31-03-12,몬스터 에너지 파피용 355ml 24개,32600.0,0.0,3000.0,0.0,0.0,,,
13650892973,27-15-08,펩시콜라 제로 라임향 190ml 30개,13200.0,0.0,3000.0,0.0,0.0,,,
13650892972,27-15-05,펩시콜라 제로 250ml 30개,21600.0,0.0,3000.0,0.0,0.0,,,
13650892971,PC004898,리고 엘막 레몬주스 946ml 1개,4000.0,0.0,3000.0,0.0,0.0,,,
13650892970,PC005738,아지노모도 혼다시 1kg 1개,19800.0,0.0,3000.0,0.0,0.0,,,
13650892969,PC005071,보해 매원 디럭스 1.5L 1개,6300.0,0.0,3000.0,0.0,0.0,,,
13650892968,22-04-09,팔도 비락 수정과 제로 1.5L 12개,33900.0,0.0,3000.0,0.0,0.0,,,
13650892967,20-90-00,광동 썬키스트 도라지꿀배 280ml 24개,20300.0,0.0,3000.0,0.0,0.0,,,
13650892966,PC005246,롯데 환만식초 1.8L 1개,2500.0,0.0,3000.0,0.0,0.0,,,
13650892965,PC005321,올바른농부 콩식용유 18L 1개,53700.0,0.0,3000.0,0.0,0.0,,,
13650892964,15-15-02,햇반 210g 36개,32700.0,0.0,3000.0,0.0,0.0,,,
13650892963,12-30-01,동원 양반 백미식혜 238ml 24개,9800.0,0.0,3000.0,0.0,0.0,,,
13650892962,PC005813,파티니 프리미엄 올리브 포마스오일 5L 1개,30600.0,0.0,3000.0,0.0,0.0,,,
13650892961,PC005632,기꼬만 양조간장 1.8L 1개,8100.0,0.0,3000.0,0.0,0.0,,,
13643872969,16-51-03,(260802임박)동원 친친오리지널 치즈 소시지 80g 10개 1박스,5500.0,0.0,3000.0,0.0,0.0,,,
13630738799,11-05-00,동원 참치 기획세트 90g (살코기4+고추2)x10 총 60개,81500.0,0.0,3000.0,0.0,0.0,,,
13630738798,PC005900,다인푸드 깨분100% 참기름 1.8L 1개,16500.0,0.0,3000.0,0.0,0.0,,,
13630738797,PC005904,후레쉬 오이피클 3kg 1개,3800.0,0.0,3000.0,0.0,0.0,,,
13630738796,08-45,백설 튀김가루 1kg 10개,21200.0,0.0,3000.0,0.0,0.0,,,
13630738795,PC005881,영미 고추맛기름 15L 1개,79800.0,0.0,3000.0,0.0,0.0,,,
13630738794,200-300-25-55,펭귄 번데기탕 270g 24개,25400.0,0.0,3000.0,0.0,0.0,,,
13630738793,PC005899,다인푸드 통깨100% 참기름 1.8L 1개,27100.0,0.0,3000.0,0.0,0.0,,,
