관리코드,상품명,비고,제한내용
23-35,웅진헛개차500 (72),마진율 민감 상품,배송비 미포함 17000원
28-52,미에로 350 / 현대 (77)(70),마진율 민감 상품,마진율 민감 상품
28-51,미에로(병) 210 / 현대 (56),마진율 민감 상품,마진율 민감 상품
28-50,미에로(병) 100 / 현대 (40),마진율 민감 상품,마진율 민감 상품
28-53-03,미에로1.2L(기획증정용),마진율 민감 상품,배송비포함 22000원
28-52-01,미에로 스파클링제로 350,마진율 민감 상품,마진율 민감 상품
23-07,웅진초록매실 1.5 (48),마진율 민감 상품,29900원
14-52-02,몽베스트 330ml*20(170),마진율 민감 상품,고정가 배송비포함 9000원
26-13,가야종합병180 (63),마진율 민감 상품,배송비포함 35500원
24-07,티오피마스터라떼 275 (노랑)(120),마진율 민감 상품,단가유지
24-07-01,티오피스위트아메 275 (초록)(120),마진율 민감 상품,단가유지
24-07,티오피마스터라떼 275 (노랑)(120),마진율 민감 상품,단가유지
24-07-01,티오피스위트아메 275 (초록)(120),마진율 민감 상품,단가유지
24-07-03,티오피더블랙 275 (120),마진율 민감 상품,단가유지
24-07-03,티오피더블랙 275 (120),마진율 민감 상품,단가유지
24-07,티오피마스터라떼 275 (노랑)(120),마진율 민감 상품,단가유지
23-22,웅진 옥수수수염차500 (72),마진율 민감 상품,배송비포함 21600원(esm)
24-28-02,맥심티오피스위트아메리카노 380ml(96),마진율 민감 상품,단가유지
24-28-03,맥심티오피 더블랙 380ml(96),마진율 민감 상품,단가유지
24-28-01,맥심티오피 마스터라떼 380ml(96),마진율 민감 상품,단가유지
29-05-01,초정 탄산수 190(132),마진율 민감 상품,개당 9500원
20-18,광동옥수수염차캔 180 (168),마진율 민감 상품,마진율 20%대 유지
20-14-02,광동비타500 240캔(30입) (132),마진율 민감 상품,2개 합포 기준 16000원
21-91,웅진꿀홍삼병180 (64),마진율 민감 상품,배송비포함 26500원
23-09,웅진아침햇살 1.5 (48),마진율 민감 상품,배송비포함 29900
29-19,맥콜 190 업소용(132),마진율 민감 상품,개당 11000원 나오게(배송비 포함)
29-10-01,천연사이다(업소용) 190(132),마진율 민감 상품,가격 유지
12-01-05,동원보성홍차아이스티제로 레몬  500ml (54),마진율 민감 상품,배송비포함 19900원
12-01-04,동원보성홍차아이스티제로 복숭아 500ml (54),마진율 민감 상품,배송비포함 19900원
12-01-12,동원보성홍차아이스티제로 애플 500ml (54),마진율 민감 상품,배송비포함 19900원
12-01-13,동원보성홍차아이스티제로 샤인머스켓 500ml (54),마진율 민감 상품,배송비포함 19900원
12-18-11,동원 쿨피스 복숭아뚱캔 350 24입(90),마진율 민감 상품,배송비포함 15500
12-34,동원쿨피스 파인애플뚱캔350,마진율 민감 상품,배송비포함 15500
20-15,광동헛개차캔 175 (154),마진율 민감 상품,배송비포함 11300
29-10-01,천연사이다(업소용) 190(132),마진율 민감 상품,배송비포함 11500 (8500+3000)
25-50-01,진로토닉워터 300ml (96),마진율 민감 상품,단가유지
25-50-07,진로토닉워터제로 (96) 300ml,마진율 민감 상품,단가유지
21-100,GT맛두유고칼슘팩(검은콩.깨)190(180),마진율 민감 상품,단가유지
20-15,광동 헛개차 캔 180ml,마진율 민감 상품,배송비 제외 10200원
20-07-04,,마진율 민감 상품,단가유지
20-05,,마진율 민감 상품,단가유지
54-21-03,,마진율 민감 상품,단가유지
22-04-00,,마진율 민감 상품,단가유지
26-27-03,,마진율 민감 상품,단가유지
29-17,,마진율 민감 상품,단가유지
22-04-01,,마진율 민감 상품,단가유지
26-27-02,,마진율 민감 상품,단가유지
26-27-04,,마진율 민감 상품,단가유지
26-27-04,,마진율 민감 상품,단가유지
26-27-03,,마진율 민감 상품,단가유지
26-27-02,,마진율 민감 상품,단가유지
23-333-01,,마진율 민감 상품,단가유지
20-01-01,,마진율 민감 상품,단가유지
29-30.,,마진율 민감 상품,단가유지
29-01-03,,마진율 민감 상품,단가유지
25-273,,마진율 민감 상품,단가유지
20-01-01,,마진율 민감 상품,단가유지
25-273,,마진율 민감 상품,단가유지
20-01-01,,마진율 민감 상품,단가유지
23-18,,마진율 민감 상품,배송비 포함 15900
12-18-11,,마진율 민감 상품,배송비 포함 16000
