관리코드,식품음료,합포수량,최종분류
00-01,식품,,
00-12,식품,1,기타
00-13,식품,1,기타
00-16,식품,,
0000-168-180-01,식품,1,식용유
0000-190-150-01,식품,1,
0000-193-150-01,식품,1,설탕
0000-209-10-01,식품,1,
0000-321-05-02,식품,1,
0000-327-10-01,식품,1,기타조미료
0000-327-10-02,식품,1,기타조미료
0000-327-180-01,식품,1,기타조미료
0000-72-180-01,식품,1,
01-09,식품,1,기타
01-09-01,식품,1,스낵류
01-09-02,식품,1,스낵류
01-09-03,식품,1,스낵류
01-09-04,식품,1,스낵류
01-09-06,식품,1,스낵류
01-09-10,음료,2,기타과즙음료
01-111,식품,,
01-17,선물세트,1,선물세트
01-17-03,선물세트,1,선물세트
01-18,식품,1,씨리얼
01-18-02,식품,1,씨리얼
01-18-03,식품,1,씨리얼
01-18-04,식품,1,씨리얼
01-18-05,식품,1,씨리얼
01-18-06,식품,1,기타
01-19,선물세트,1,선물세트
01-19-02,선물세트,1,선물세트
01-19-04,선물세트,1,선물세트
01-19-06,선물세트,1,선물세트
01-19-10,선물세트,1,선물세트
01-23-02,식품,1,기타조미료
01-23.,식품,1,기타조미료
01-40,식품,2,스낵류
01-41,식품,2,스낵류
01-42,식품,2,스낵류
01-43,식품,2,스낵류
01-47,식품,2,스낵류
01-48,식품,2,스낵류
01-50,음료,1,생수
02-15,식품,1,세탁/세제류
02-16,식품,1,세탁/세제류
02-17,식품,1,
02-17.,식품,1,세탁/세제류
02-21,식품,1,세탁/세제류
02-22,식품,1,세탁/세제류
02-23,식품,1,세탁/세제류
03-01,식품,1,세탁/세제류
03-01.,식품,1,세탁/세제류
03-05,식품,1,세탁/세제류
03-05.,식품,1,세탁/세제류
03-17-02,식품,1,면세
03-18-05,식품,1,기타
03-18-07,식품,1,면세
03-18-09,식품,1,면세
03-20,식품,1,면세
03-22-01,식품,1,면세
031-522-63-63,식품,1,
04-01,식품,1,
04-01-01,식품,1,세탁/세제류
07-192-120-01,식품,1,세탁/세제류
07-31,선물세트,1,선물세트
08-01,식품,1,세탁/세제류
08-16,식품,1,기타
08-20,식품,1,식용유
08-20-01,식품,1,식용유
08-20-02,식품,1,식용유
08-20-03,식품,1,식용유
08-20-04,식품,1,식용유
08-20-05,식품,1,식용유
08-25-01,선물세트,1,선물세트
08-28,식품,1,식용유
08-32,식품,1,식용유
08-32-02,식품,1,식용유
08-37-02,식품,1,식용유
08-37-05,식품,1,기타조미료
08-39,식품,1,식용유
08-45,식품,1,기타조미료
08-46,식품,1,기타조미료
08-47,식품,1,세탁/세제류
08-47-01,식품,1,양념장
08-47-02,식품,1,양념장
08-47-03,식품,1,양념장
08-47-04,식품,1,양념장
08-49,식품,1,세탁/세제류
08-52,식품,1,세탁/세제류
08-70,식품,1,면세
08-71,식품,1,면세
09-56-02,식품,1,면세
09-71-02,식품,1,면세
09-74-01,식품,1,면세
09-74-02,식품,1,면세
10-00,식품,1,골뱅이
10-00-02,식품,1,골뱅이
10-01,식품,1,골뱅이
10-02,식품,1,골뱅이
10-04,식품,1,꽁치통조림
10-07,식품,1,번데기
10-08-02,식품,1,과일 통조림
10-13,식품,1,꽁치통조림
10-14,식품,1,번데기
10-14-02,식품,1,번데기
10-15,식품,1,꽁치통조림
10-21,식품,1,기타골뱅이
10-21-02,식품,1,기타골뱅이
10-21-04,식품,1,기타골뱅이
10-29,식품,1,번데기
100-100,음료,2,탄산수
100-100-01,음료,1,탄산수
100-100-02,음료,2,탄산수
100-233-23-22,식품,1,식용유
100-99,음료,3,탄산수
101-100-30-02,식품,1,
101-108-10-01,식품,1,
101-219-30-02,식품,1,
101-279-02-01,식품,1,
102-227-10-01,식품,1,
102-227-20-01,식품,1,기타조미료
102-233-80-01,식품,1,설탕
102-233-80-02,식품,1,설탕
103-15-30-01,식품,1,기타
109-40-05-01,식품,1,
11-01,식품,1,참치캔
11-01-02,식품,1,참치캔
11-01-03,식품,1,참치캔
11-01-04,식품,1,참치캔
11-012,식품,1,참치캔
11-02,식품,1,참치캔
11-03,식품,1,참치캔
11-03-05,식품,1,참치캔
11-04,식품,1,참치캔
11-04-05,식품,1,참치캔
11-05,식품,1,참치캔
11-05-00,식품,1,참치캔
11-05-02,식품,1,참치캔
11-05-04,식품,1,참치캔
11-05-07,식품,1,참치캔
11-05-11,식품,1,참치캔
11-05-21,식품,1,참치캔
11-05-71,식품,1,참치캔
11-07,식품,1,참치캔
11-07-02,식품,1,참치캔
11-09,식품,1,참치캔
11-100,식품,1,스팸류
11-107,식품,1,번데기
11-11,식품,1,참치캔
11-11-02,식품,1,참치캔
11-13-02,식품,1,과일 통조림
11-135-40-01,식품,1,
11-138-20-02,식품,1,
11-16,식품,1,골뱅이
11-16-02,식품,1,골뱅이
11-17,식품,1,골뱅이
11-17-05,식품,1,골뱅이
11-18,식품,1,과일 통조림
11-19,식품,1,참치캔
11-19-01,식품,1,참치캔
11-20,식품,1,참치캔
11-21,식품,1,참치캔
11-21-02,식품,1,참치캔
11-22,식품,1,3분요리
11-222-08-01,식품,1,과일 통조림
11-222-30-01,식품,1,과일 통조림
11-23,식품,1,3분요리
11-24,식품,1,3분요리
11-25,식품,1,꽁치통조림
11-26,식품,1,3분요리
11-27,식품,1,3분요리
11-28,식품,1,3분요리
11-28-02,식품,1,3분요리
11-30,식품,1,과일 통조림
11-32,식품,1,과일 통조림
11-38-02,식품,1,꽁치통조림
11-39,식품,1,꽁치통조림
11-39-03,식품,1,꽁치통조림
11-39-05,식품,1,꽁치통조림
11-40,식품,1,참치캔
11-40-001,식품,4,참치캔
11-40-002,식품,1,참치캔
11-40-003,식품,4,참치캔
11-40-06,식품,1,참치캔
11-40-07,식품,1,참치캔
11-40-112,식품,4,참치캔
11-41-04,식품,1,참치캔
11-41-05,식품,1,참치캔
11-44-02,식품,1,스팸류
11-61,식품,1,과일 통조림
11-61-02,식품,1,과일 통조림
11-61-05,식품,1,과일 통조림
11-61-09-01,식품,1,
11-64-01,식품,1,면류
11-70,식품,1,참치캔
11-73,식품,1,과일 통조림
11-74,식품,1,과일 통조림
11-74-01,식품,1,과일 통조림
11-74-02,식품,1,과일 통조림
11-74-03,식품,1,과일 통조림
11-74-04,식품,1,과일 통조림
11-74-05,식품,1,과일 통조림
11-74-07,식품,1,과일 통조림
11-75-01,식품,1,과일 통조림
11-75-02,식품,1,과일 통조림
11-75-03,식품,1,과일 통조림
11-75-04,식품,1,과일 통조림
11-75-05,식품,1,과일 통조림
11-89-20-01,음료,1,차
110-166-07-01,음료,1,식혜류
111-111-11-11,식품,,
116-278-01-01,식품,1,
119-151-20-09,식품,1,
12-01-01,음료,1,차
12-01-04,음료,1,기타과즙음료
12-01-05,음료,1,기타과즙음료
12-01-10,음료,2,기타과즙음료
12-01-12,음료,1,차
12-01-13,음료,1,차
12-02,음료,1,차
12-04,음료,1,생수
12-04-01,음료,1,생수
12-10,음료,3,기타과즙음료
12-11-01,음료,2,기타과즙음료
12-11-02,음료,2,기타과즙음료
12-12,음료,3,차
12-13,음료,3,꿀물
12-14,음료,3,차
12-15,음료,1,식혜류
12-15-01,음료,1,기타과즙음료
12-15-02,음료,1,기타과즙음료
12-16,음료,3,식혜류
12-18-02,음료,2,기타과즙음료
12-18-03,음료,1,기타과즙음료
12-18-11,음료,2,기타과즙음료
12-19,음료,1,기타과즙음료
12-21,식품,1,스팸류
12-21-02,식품,1,스팸류
12-29,음료,2,식혜류
12-30,음료,2,식혜류
12-30-01,음료,1,식혜류
12-34,음료,2,기타과즙음료
12-37-02,음료,1,차
12-39,음료,1,탄산수
12-41,음료,4,기타과즙음료
12-41-01,음료,4,기타과즙음료
122-255-89-88,식품,1,
123-150-52-58,식품,1,
123-25-55-1,식품,1,스낵류
123-56-55-55,식품,1,기타조미료
123-565-558-858,식품,1,
128-300-30-01,식품,1,
128-77-885-77,식품,1,
