대분류명,중분류명,소분류명,상품코드,관리코드,상품명,규격,박스내품,매입단가,박스매입단가,매출단가,박스매출단가,매익률,최종재고,박스,낱개,최대 주문수량,긴글비고,판매자관리코드,SKU코드
기본 대분류,음료-B동,기타음료,000001,55-04-02,히비스커스헛개수500,500ml*20,20,600,12000,850,17000,0.4167,0,0,0,0,,,
기본 대분류,음료-B동,기타음료,000002,55-04-01,히비스커스헛개수340(특수유통용),340ml*20,20,670,13400,770,15400,0.1493,0,0,0,0,,,
기본 대분류,음료-B동,HK이노앤,000003,55-04-03,히비스커스블렌딩티500ml*24BT,500ml*24,24,500,12000,641,15384,0.282,0,0,0,0,,,
기본 대분류,세제외-A동,기타,000013,42-75-02,황지수 핸드 클린겔500(손세정제)(70),500ml*15개,15,2750,41250,4000,60000,0.4545,0,0,0,0,,,
기본 대분류,음료-B동,코카콜라,000016,31-47-02,환타포도 355(업소용)/100,(355ml*24),24,551.5833,13237.9992,637.5,15300,0.1558,-48,-2,0,0,,,
기본 대분류,음료-B동,코카콜라,000017,31-42-05,환타포도250,250ml*30,30,482.3667,14471.001,600,18000,0.2439,0,0,0,0,,,
기본 대분류,음료-B동,코카콜라,000018,31-44-02,환타포도1.5,1.5L*12,12,1705.4505,20465.406,2108.335,25300.02,0.2362,324,27,0,0,,,
기본 대분류,음료-B동,코카콜라,000019,31-42-04,환타파인250/99,250ml*30,30,534.1,16023,700,21000,0.3106,-720,-24,0,0,,,
기본 대분류,음료-B동,코카콜라,000020,31-46,환타파인 600,600ml*24,24,1113.125,26715,1325,31800,0.1903,168,7,0,0,,,
기본 대분류,음료-B동,코카콜라,000021,31-44-01,환타파인 1.5,1.5L*12,12,1627.25,19527,2108.335,25300.02,0.2956,156,13,0,0,,,
기본 대분류,음료-B동,코카콜라,000022,31-42,환타오렌지190 (126/132),190ml*30,30,430.1333,12903.999,527.6667,15830.001,0.2268,7920,264,0,0,,,
기본 대분류,음료-B동,코카콜라,000023,31-45,환타오렌지 600,600ml*24,24,1113.125,26715,1325,31800,0.1903,1296,54,0,0,,,
기본 대분류,음료-B동,코카콜라,000024,31-44-05,환타오렌지 300(pet) (72),300*24,24,741.2917,17791.0008,916.6667,22000.0008,0.2366,0,0,0,0,,,
기본 대분류,음료-B동,코카콜라,000025,31-42-02,환타오렌지 250/99,250ml*30,30,534.1,16023,600,18000,0.1234,0,0,0,0,,,
기본 대분류,음료-B동,코카콜라,000026,31-44,환타오렌지 1.5,1.5L*12,12,1627.25,19527,2108.335,25300.02,0.2956,456,38,0,0,,,
기본 대분류,음료-B동,코카콜라,000027,31-47-01,환타파인 355(업소용) (88/100),(355ml*24),24,550.5833,13213.9992,695.8333,16699.9992,0.2638,6696,279,0,0,,,
기본 대분류,음료-B동,코카콜라,000028,31-47,환타오렌지 355 (업소용)/(88/100),(355ml*24),24,550.585,13214.04,695.835,16700.04,0.2638,6384,266,0,0,,,
기본 대분류,음료-B동,현대약품,000036,28-06,화이브미니(동아),100ml*100,100,469.2,46920,600,60000,0.2788,0,0,0,0,,,
기본 대분류,통조림-C동,화남산업,000040,13-02,화남황도820G,820*12,12,2850,34200,3416.6667,41000.000400000004,0.1988,0,0,0,0,,,
기본 대분류,통조림-C동,화남산업,000041,13-02.,화남 황도슬라이스3kg,3Kg*6,6,7200,43200,8550,51300,0.1875,589,98,1,0,,,
기본 대분류,통조림-C동,화남산업,000042,13-01,화남황도(小),400g*24,24,1050,25200,1250,30000,0.1905,0,0,0,0,,,
기본 대분류,통조림-C동,화남산업,000044,13-06,화남파인애플,3K*6,6,7400,44400,8333,49998,0.1261,0,0,,0,,,
기본 대분류,통조림-C동,화남산업,000045,13-03,화남백도(小),24*400,400,50,20000,63,25200,0.26,0,0,,0,,,
기본 대분류,통조림-C동,화남산업,000047,13-011,화남 파인애플 820g*12,820g*12,12,1800,21600,2083,24996,0.1572,0,0,,0,,,
기본 대분류,음료-B동,청정원,000050,01-04,홍초석류 900+500 (기획),900+500*12,12,5500,66000,6667,80004,0.2122,0,0,0,0,,,
기본 대분류,음료-B동,청정원,000051,01-06,홍초석류 900,900ml*12,12,4333.3333,51999.9996,6000,72000,0.3846,0,0,0,0,,,
기본 대분류,음료-B동,청정원,000052,01-06.,홍초블루베리900+500(기획),900ml+500*12,12,5500,66000,6667,80004,0.2122,0,0,,0,,,
기본 대분류,음료-B동,청정원,000053,01-04..,홍초블루베리 900,900ml*12,12,4000,48000,4583,54996,0.1458,0,0,,0,,,
기본 대분류,음료-B동,청정원,000054,01-06..,홍초복분자900+500(기획),900+500*12,12,4000,48000,6000,72000,0.5,0,0,,0,,,
기본 대분류,음료-B동,청정원,000055,01-04.,홍초복분자 900,900ml*12,12,4000,48000,4583,54996,0.1458,0,0,,0,,,
기본 대분류,기타,기타,000056,55-09-03,홍삼진플러스파우치70ml(30입),70ml*30입,30,0,0,733,21990,0,0,0,0,0,,,
기본 대분류,음료-B동,정관장,000057,15-41,홍삼진파우치,(70ml*120)*4,480,125,60000,182,87360,0.456,0,0,0,0,,,
기본 대분류,음료-B동,HK이노앤,000058,55-09-02,홍삼진병100ml,100ml*10,10,297,2970,350,3500,0.1785,0,0,0,0,,,
기본 대분류,음료-B동,HK이노앤,000059,55-09,홍삼진병(100*10) Hk이노앤 (40),(100ml*10)*10,100,310,31000,363,36300,0.171,940,9,40,0,,,
기본 대분류,기타,기타,000060,55-12-01,홍삼원케이스,,0,100,0,130,0,0.3,200,0,200,0,,,
기본 대분류,음료-B동,정관장,000061,15-04-09,홍삼원디(정관장)100ml (50),(10병*10set),100,530,53000,580,58000,0.0943,0,0,0,0,,,
기본 대분류,음료-B동,동화약품,000070,52-66,혼다시/아지노모드(A),k*10,10,12800,128000,15000,150000,0.1719,0,0,,0,,,
기본 대분류,음료-B동,동화약품,000071,52-65,혼다/다시노모도(계성)(B),1k*10,10,7500,75000,10000,100000,0.3333,0,0,,0,,,
기본 대분류,음료-B동,호연당,000072,34-04-02,호연당허니스파클링펫 350(104),350ml*20,20,405,8100,605,12100,0.4938,0,0,,0,,,
기본 대분류,음료-B동,호연당,000073,34-04-01,호연당스파클링꿀물캔식스팩250,(6팩*5),30,116.6667,3500.001,333,9990,1.8543,0,0,,0,,,
기본 대분류,음료-B동,호연당,000074,34-04,호연당스파클링꿀물캔250,250ml*30,30,266.6667,8000.001,333,9990,0.2487,0,0,,0,,,
기본 대분류,음료-B동,호연당,000076,34-02,호연당꿀물캔 175 (156),175ml*30,30,183.3333,5499.999,250,7500,0.3636,0,0,0,0,,,
기본 대분류,기타,기타,000077,42-86,호연당 허니향(HK817),1kg,1,33000,33000,44000,44000,0.3333,77,77,0,0,,,
기본 대분류,음료-B동,호연당,000078,34-01-01,호연당 아카시아꿀물병 (56),180ml*48병,48,500,24000,729.1667,35000.0016,0.4583,0,0,0,0,,,
기본 대분류,음료-B동,현대약품,000079,28-53-02,현대옥수수수염차 500ml,500*20,20,390,7800,500,10000,0.2821,0,0,0,0,,,
기본 대분류,파렛트,파렛트,000081,28-59,현대약품파렛트,,0,0,0,0,0,0,63,0,63,0,,,
기본 대분류,반품,반품,000082,60-31,현대미에로반품,,0,0,0,0,0,0,6,0,6,0,,,
기본 대분류,음료-B동,현대약품,000083,28-13-01,헬씨올리고200/현대약품,200ml*40,40,592.75,23710,700,28000,0.1809,1200,30,0,0,,,
기본 대분류,음료-B동,현대약품,000084,28-13,헬씨올리고100/현대,100ml*100,100,357.54,35754,400,40000,0.1188,4930,49,30,0,,,
기본 대분류,음료-B동,롯데칠성음료,000089,27-101,헛개차페트500/롯데칠성,500*20,20,637.5,12750,850,17000,0.3333,0,0,,0,,,
기본 대분류,음료-B동,HK이노앤,000091,55-01-02,헛개 컨디션120ml (70),120ml*50,50,1900,95000,2640,132000,0.3895,13430,268,30,0,,,
기본 대분류,음료-B동,매일유업,000097,25-07,허쉬쿠키앤크림235팩/매일,235*6*4=24,24,449.166666666667,10780.00000000001,500,12000,0.1132,0,0,,0,,,
기본 대분류,세제외-A동,CJ제일제당,000102,15-15-02,햇반기획210g (3입*12) (56),(210g*3)*12,36,800,28800,1000,36000,0.25,432,12,0,0,,,
기본 대분류,세제외-A동,CJ제일제당,000103,15-15-04,햇반기획200g(8입*6)/(40),200g*(8*6),48,750,36000,1125,54000,0.5,0,0,0,0,,,
기본 대분류,세제외-A동,CJ제일제당,000104,15-15,햇반기획200g (4입*12) (40),200g*(4*12),48,650,31200,729,34992,0.1215,0,0,,0,,,
기본 대분류,통조림-C동,CJ제일제당,000105,15-16,햇반기획 200g(24입)/64,200g*24,24,730,17520,1000,24000,0.3699,0,0,0,0,,,
기본 대분류,세제외-A동,기타,000116,36-83-02,해피데이 고급종이컵 (72),,1,6000,6000,7500,7500,0.25,0,0,0,0,,,
기본 대분류,세제외-A동,해표사조,000117,39-62,해표후추200g*30,200g*30,30,2800,84000,3333,99990,0.1904,0,0,,0,,,
기본 대분류,세제외-A동,해표사조,000118,41-23,해표포도씨유0.9,0.9*12,12,4500,54000,5833,69996,0.2962,0,0,,0,,,
기본 대분류,세제외-A동,해표사조,000120,41-09,사조해표 카놀라유900,900*12(64),12,5200,62400,7250,87000,0.3942,0,0,0,0,,,
기본 대분류,세제외-A동,해표사조,000124,41-14,해표올리브유(0.5*20),,1,80000,80000,90000,90000,0.125,0,0,,0,,,
기본 대분류,세제외-A동,해표사조,000126,41-16,해표식용유7호*4-(BOX),(1.8L*3)*4set,4,9150,36600,12000,48000,0.3115,0,0,,0,,,
기본 대분류,세제외-A동,해표사조,000128,41-28.,해표식용유1.5*8 (48),1.5L*8,8,2312.5,18500,2800,22400,0.2108,0,0,0,0,,,
기본 대분류,세제외-A동,해표사조,000130,41-17,해표식용유0.9,0.9*20,20,2250,45000,3000,60000,0.3333,0,0,,0,,,
기본 대분류,세제외-A동,기타,000132,41-19,해표식용유 1.8L (32),1.8L*12,12,5100,61200,7000,84000,0.3725,0,0,0,0,,,
기본 대분류,음료-B동,해태음료,000143,01-105,해태훼미리매실 1.5,1.5L*12,12,1418,17016,1667,20004,0.1756,0,0,0,0,,,
기본 대분류,음료-B동,해태음료,000144,32-20,해태후레쉬100%(1.5L),1.5L*12,12,1417,17004,1667,20004,0.1764,0,0,,0,,,
기본 대분류,음료-B동,해태음료,000145,32-32-03,해태 미닛메이드 허니유자페트280,280*24,24,848.625,20367,1129.1667,27100.0008,0.3306,0,0,0,0,,,
기본 대분류,음료-B동,해태음료,000146,32-01-02,해태포도봉봉뚱캔340,340ml*24,24,546.7083,13120.9992,775,18600,0.4176,744,31,0,0,,,
기본 대분류,음료-B동,해태음료,000147,32-01,해태포도봉봉238ml(50),238ml*72,72,458.3333,32999.9976,540.2778,38900.001599999996,0.1788,8928,124,0,0,,,
기본 대분류,파렛트,파렛트,000148,01-124,해태파렛트,,1,0,0,0,0,0,57,57,0,0,,,
기본 대분류,음료-B동,해태음료,000149,32-21,해태코코팜화이트(요쿠르트/ 스쿨존)240,240ml*30,30,480.5,14415,626.6667,18800.001,0.3042,1530,51,0,0,,,
기본 대분류,음료-B동,해태음료,000150,32-05,해태코코팜(포도) (50),238ml*72,72,458.3333,32999.9976,679.1667,48900.0024,0.4818,4608,64,0,0,,,
기본 대분류,음료-B동,해태음료,000153,31-21,해태제주감귤1.5,1.5L*12,12,1418,17016,1667,20004,0.1756,0,0,,0,,,
기본 대분류,음료-B동,해태음료,000154,22-37.,해태자몽소다펫트350,350ml*24,24,567,13608,833,19992,0.4691,0,0,0,0,,,
기본 대분류,음료-B동,해태음료,000155,32-41,해태자몽소다캔355,355ml*24,24,483,11592,625,15000,0.294,0,0,0,0,,,
기본 대분류,음료-B동,해태음료,000156,32-17,해태 미닛메이드 레몬에이드1.5,1.5L*12,12,1871.25,22455,2166.6667,26000.000400000004,0.1579,0,0,0,0,,,
기본 대분류,음료-B동,해태음료,000157,32-06,해태썬키스트 훼미리포도1.5,1.5L*12,12,2272.6667,27272.000400000004,3333.353,40000.236000000004,0.4667,0,0,0,0,,,
기본 대분류,음료-B동,해태음료,000158,32-10,해태써니텐오렌지250,250ml*30,30,485,14550,600,18000,0.2371,0,0,0,0,,,
기본 대분류,음료-B동,해태음료,000159,32-01-03,해태복숭아봉봉뚱캔340,340ml*24,24,567.2917,13615.0008,804.1667,19300.0008,0.4176,2136,89,0,0,,,
기본 대분류,반품,반품,000160,60-13,해태반품,0,1,0,0,0,0,0,11,11,0,0,,,
기본 대분류,음료-B동,해태음료,000161,32-32-02,해태 미닛메이드 모과생강페트280,280*24,24,848.625,20367,1129.1667,27100.0008,0.3306,0,0,0,0,,,
기본 대분류,음료-B동,해태음료,000162,32-39,해태멜론소다펫트350,350ml*24,24,700,16800,833,19992,0.19,0,0,,0,,,
기본 대분류,음료-B동,해태음료,000165,32-17.,해태레몬에이드캔240*30,240*30,30,363,10890,500,15000,0.3774,0,0,0,0,,,
기본 대분류,음료-B동,해태음료,000166,32-11,해태 미닛메이드 레몬에이드Pet 350,350ml*24,24,766.8333,18403.9992,1000,24000,0.3041,552,23,0,0,,,
기본 대분류,음료-B동,해태음료,000167,32-01-04,해태딸기봉봉뚱캔340,340ml*24,24,479.1667,11500.0008,625,15000,0.3043,0,0,0,0,,,
기본 대분류,음료-B동,해태음료,000169,32-13,해태 과일촌 아침에사과1.5 (44),1.5L*12,12,2080.6325,24967.590000000004,2583.353,31000.236,0.2416,-108,-9,0,0,,,
기본 대분류,음료-B동,해태음료,000170,32,해태 과일촌 아침에사과 500,500ml*24,24,894.223,21461.352,1183.3333,28399.9992,0.3233,384,16,0,0,,,
기본 대분류,음료-B동,해태음료,000171,32-18-01,해태갈아만든배뚱캔340,340ml*24,24,581.8185,13963.644,833.3333,19999.9992,0.4323,4032,168,0,0,,,
기본 대분류,음료-B동,해태음료,000172,32-02,해태갈아만든배238 (50),238ml*72,72,472.2222,33999.9984,700,50400,0.4824,10872,151,0,0,,,
기본 대분류,음료-B동,해태음료,000173,32-30,해태갈아만든배 1.5 (44),1.5L*12,12,2048.2738,24579.2856,3225,38700,0.5745,2580,215,0,0,,,
기본 대분류,세제외-A동,CJ제일제당,000175,08-18-02,해찬들태양초골드고추장1kg(12통),(1kg*12),12,5500,66000,6667,80004,0.2122,0,0,0,0,,,
기본 대분류,세제외-A동,CJ제일제당,000176,08-18,해찬들태양초고추장2.4+450g,(2.4+450)*4,4,8800,35200,10000,40000,0.1364,0,0,,0,,,
