바코드,관리코드,N,상품명
8801007314327,15-43-03,,백설갈색설탕3kg*6(브라운)(64)
8801101888427,40-10-02,,피죤2900ml*4(옐로미모사)(48)
8801007176369,08-47-03,,CJ 백설[소불고기]양념장 500g(91)
8801007100838,15-40,,백설하얀설탕1kg(88)
8806002006437,23-22,,웅진 옥수수수염차500 (72)
8809236621117,11-73,,라리 스위트콘덕용 2.95kg (64)
8801063310134,10-21-04,,유동순살왕꼬막&골뱅이 280
8801047161646,11-27,,동원/양반야채죽 (72)
8801382128564,23-19-01,,초록매실캔180(90입) 48
8801097235212,28-24-02,,나랑드사이다제로/동아 500
8801382145677,23-012,,웅진하늘보리325 (112)
8801037091410,24-071,,맥스웰 콜롬비아나 마스터스위트아메리카노240(120)
8801382128465,23-16,,웅진자연은고칼슘오렌지캔180 (132)
8801056083588,81-29,,롯데 칸타타 아이스카라멜마끼아또 파우치230
8801069175669,21-02,,남양프렌치카푸치노컵 200 (빨강)
88002101,20-13,,피크닉사과 (154)
8801097250062,28-06,,화이브미니(동아)
8801056055202,27-17-04,,트레비레몬 500 (6입)
8801382127789,23-23-01,,웅진자연은알로에 500 (72)
8801007077352,15-87-04,,백설 요리올리고당1.2
8806325625612,08-49,,비트(드럼)2.8
8801223104306,29-24,,천연사이다 1.5L(40)
8801056755010,27-04-02,,밀키스 500 (84)
8801094112707,31-45,,환타오렌지 600
8801056190019,27-28-01,,칠성사이다 1.5 (55)
8801128503235,22-23-01,,팔도김치왕뚜껑
8801382127697,23-30,,웅진자연은토마토병180
8801128503174,81-04,,팔도도시락컵
8809205060039,46-04-02,,동표을지로골뱅이140g
8801094113001,31-42,,환타오렌지 250(99)
8806002010977,20-14-02,,광동비타500 240캔(132)
8801382127765,23-27,,웅진자연은알로에병180
8801007176352,08-47-01,,CJ 백설[소갈비]양념장 500g(91)
8801037087543,24-07,,티오피마스터라떼 275 (노랑)(120)
8801037087550,24-07-01,,티오피스위트아메 275 (초록)(120)
8801121103319,25-01,,매일카페라떼마일드컵 (126)
8801063310301,10-08-02,,유동황도슬라이스400 (96)
8801037100070,24-34,,동서 레드불250 (128)
8801121103562,25-02,,매일카페라떼카라멜마끼아또컵 (126)
8801121772669,25-01-01,,매일카페라떼마일드로어슈거
8801056192013,27-25,,칠성사이다 500(77)
8801069402468,21-35,,남양츄파춥스 스파클링오렌지
8801047146322,11-17,,동원골뱅이(대)400g(88)
8801063122218,10-01,,유동골뱅이(中) 230(96)
8801007120522,15-87-03,,백설 프락토올리고당1.2
8801382127680,23-15-01,,웅진자연은오렌지100% 1.5(48)
8801007101309,15-40-03,,백설갈색설탕1kg*16(88)
8809296883104,22-51-03,,팔도짜장면(32입)
8801094412005,31-50-01,,코카콜라/토레타 500
8801105915709,81-63,,해태 갈아만든배500
8801097136618,28-24-06,,나랑드사이다 파인제로/동아 245캔
8809695254383,82-05,,아이뿌요 퍼플120ml
8801047121992,11-11,,동원김치찌게참치 200g
8801013120103,15-47-02,,큐원갈색설탕1kg(삼양)
8801382134909,23-34-01,,웅진자연은사과 1.5 (48)
8851013794910,20-07-01,,팁코오렌지500ml
8801047284581,12-01-04,,동원보성홍차아이스티제로 복숭아 500ml
8801007654935,08-01,,참그린녹차뽀드득1k(용기)
8801094122409,31-44-02,,환타포도1.5
8801056177553,27-28-02,,칠성사이다제로1.5
8801069400068,21-108-02,,루카스나인바닐라라떼 30T (84)
8801128503488,22-23-05,,팔도짬뽕왕뚜껑
8801128503693,22-51-05,,팔도일품해물라면
8801074256308,57-02,,한성런천미트200(130)
8801013131505,15-62,,큐원 흑설탕15kg (삼양/ 84)
8801128503594,54-21-03,,팔도비빔면 컵
8801047161578,11-22,,동원/양반전복죽 (72)
8801097235670,28-24-03,,나랑드사이다파인제로 /동아 500
8801094132705,31-46,,환타파인 600
8801094082604,31-28,,코카콜라제로500
8803993705738,11-75-02,,동서 리치스블랙올리브홀 피티드3gk (42)
8801105915426,32-30-01,,갈아만든배 사이다 1.5
8809294010205,10-15,,유동꽁치덕용 (40)
8801097134416,28-20-01,,오란씨오렌지250
8801043064088,24-09,,웰치스제로 포도355
8801128508858,22-51,,팔도틈새라면
8801382145769,23-333,,웅진결명자차500 (72)
8809695251344,54-21,,팔도비빔면멀티(40입)/(56/64)
8801097235632,28-24-04,,나랑드사이다 애플제로 /동아 500
8801105909036,32-13,,해태과일촌아침에사과1.5 (44)
8801047291138,12-11-01,,동원/쿨피스복숭아
8801382126539,23-12,,웅진초록매실병 180
8801105901009,32-01.,,포도봉봉24입
8801097134218,28-20,,오란씨파인애플250
8801861130118,26-06,,가야당근농장1.5 (48)
8801013130102,15-63,,큐원흑설탕1kg(42)
8801382126560,23-08,,웅진초록매실 500 (72)
8801047121978,11-11-02,,동원김치찌게참치 250g (빅)
8801047146353,11-16,,동원골뱅이(小)140g
8801094118006,31-43,,환타오렌지190 (126)
8801101168215,40-10-06,,피죤2500*500용기(비앙카)(48)
8801007650456,08-52,,비트4.5k (64)
8801069400082,21-108-05,,루카스 나인더블샷라떼 30T (30)
8801056229818,27-04-05,,밀키스제로500
8803993705745,11-75-04,,동서 리치스블랙올리브홀 피티드405g
8801056839017,27-24-01,,게토레이1.5 (36)
8801861150512,26-11,,가야알로에농장 500(90)
8801056069605,27-17-05,,트레비자몽 500 (6입)
8801069302041,21-108-01,,루카스 나인라떼 30T (30)
8801105908367,32,,해태과일촌아침에사과 500
8801094133009,31-42-01,,환타파인250
8801097136519,28-24-05,,나랑드사이다 애플제로/동아 245캔
8801094132408,31-44-01,,환타파인 1.5
8801056083557,81-28,,롯데 칸타타 아이스 스위트아메리카노 파우치230
8801128503211,22-22,,팔도왕뚜껑
8801097234420,28-09,,오란씨오렌지 1.5
8801056055226,27-17-06,,트레비플레인 500 (6입)
8801007043029,55-09,,홍삼진병(100*10)제당
8801861150062,26-09-01,,가야복숭아농장 1.5 (48)
8801097160071,28-18,,데미소다레몬250
8801382128212,23-101,,웅진자연은종합병(알토감) (64)
8806004000471,28-13,,헬씨올리고100/현대
8801056201012,27-04-03,,밀키스1.5 (50)
8801382135036,23-05,,웅진 맑게우려낸 누룽지 500
8801056096052,27-45-05,,칸타타콘트라베이스 콜드브루 라떼 500ml
8801382148500,26-27-03,,웅진 티즐 제로 피치우롱티500 (80)
8802255808019,25-59-03,,신형 여명808 (15*6곽)
8801123602131,16-01,,로스팜 97%(마일드)340(91)
8801104501354,23-40,,일화 맑은하늘도라지(빙그레) 500 (72)
8806002007298,20-05,,광동비타500/180ml(64)
8801382124528,23-13,,웅진아침햇살 500 (72)
8801105000863,32-30,,해태갈아만든배 1.5 (44)
8801001236328,25-50-08,,진로토닉워터 홍차 300
8801063310127,10-21,,유동순살왕꼬막 280
