관리코드,소분/일반,상품명,규격,내품수량,배송비 부과 규칙 (규격 기준),공급가(VAT 포함),배송비,원코드,운영
MMC1EA-65-53-02,소분,[낱개]김에빠진 메밀칩 [160g*1],160g*1,1.0,8,1800,3000,65-53-02,-
CMN200T1EA-21-108-110-13,소분,[낱개]남양 프렌치카페커피믹스 180+20 [(180+20)T*1],(180+20)T*1,1.0,4,21600,3000,21-108-110-13,-
TU200G6EA-11-04,소분,[낱개]동원참치마일드200g (104) [200g*6],200g*6,6.0,8,12800,3000,11-04,-
MGG1EA-67-74,소분,[낱개]명가 꽈배기 참깨 [500g*1],500g*1,1.0,16,5000,3000,67-74,-
MGG1EA-67-74-01,소분,[낱개]명가 꽈배기 흑당 [500g*1],500g*1,1.0,16,5000,3000,67-74-01,-
TU200G6EA-15-07,소분,[낱개]사조 마일드참치200g [200g*6],200g*6,6.0,8,11100,3000,15-07,-
NRG1EA-66-07,소분,[낱개]선푸드 검은깨쌀누룽지칩 [270g*1],270g*1,1.0,10,5300,3000,66-07,-
GNRG1EA-66-01-01,소분,[낱개]선푸드 고소한 누룽지칩 [180g*1],180g*1,1.0,20,1700,3000,66-01-01,-
GNRG1EA-66-01,소분,[낱개]선푸드 고소한 누룽지칩 콩 [180g*1],180g*1,1.0,20,1700,3000,66-01,-
SP200G5EA-15-03,소분,[낱개]스팸클래식 200 [200g*5],200g*5,5.0,4,12900,3000,15-03,-
SPCM340G5EA-15-04,소분,[낱개]스팸클래식 340 [340g*5],340g*5,5.0,4,18900,3000,15-04,-
MMC1EA-65-53,소분,[낱개]싱싱푸드 양파를 품은 메밀칩 [160g*1],160g*1,1.0,8,1800,4500,65-53,-
KRPY1EA-67-73-01,소분,[낱개]우리곡물 크리스피롤23 인절미 [500g*1],500g*1,1.0,8,5500,4500,67-73-01,-
KRPY1EA-67-73,소분,[낱개]우리곡물 크리스피롤23 크림치즈 [500g*1],500g*1,1.0,8,5500,4500,67-73,-
FH6-10-04,소분,[낱개]유동꽁치 400 [400g*6],400g*6,6.0,4,14400,3000,10-04,-
GB280G6EA-10-14-02,소분,[낱개]유동뚝배기번데기탕(구수한맛) [280g*6],280g*6,6.0,4,9200,3000,10-14-02,-
GB280G6EA-10-14,소분,[낱개]유동뚝배기번데기탕(얼큰한맛) [280g*6],280g*6,6.0,4,9200,3000,10-14,-
GB130G12EA-10-07,소분,[낱개]유동번데기 130 [130g*12],130g*12,12.0,4,8900,3000,10-07,-
GB280G6EA-10-29,소분,[낱개]유동번데기 280g [280g*6],280g*6,6.0,4,8200,3000,10-29,-
FH6-10-08-02,소분,[낱개]유동황도슬라이스400 [400g*6],400g*6,6.0,4,6500,3000,10-08-02,-
TR1EA-62-39-01,소분,[낱개]튀룽 갈릭어니언맛 [77g*1],77g*1,1.0,20,1800,3000,62-39-01,-
TR1EA-62-39-03,소분,[낱개]튀룽 구운오징어맛 [77g*1],77g*1,1.0,20,1800,3000,62-39-03,-
TR1EA-62-39-02,소분,[낱개]튀룽 매콤떡볶이맛 [77g*1],77g*1,1.0,20,1800,3000,62-39-02,-
TR1EA-62-39,소분,[낱개]튀룽 오리지널맛 [77g*1],77g*1,1.0,20,1800,3000,62-39,-
FH6-14-13,소분,[낱개]HC고등어400g(강구나루) [400g*6],400g*6,6.0,4,8000,3000,14-13,-
FH6-14-12,소분,[낱개]HC꽁치400g(강구나루) [400g*6],400g*6,6.0,4,15300,3000,14-12,-
FH6-14-02-02,소분,[낱개]펭귄고등어(신형) [400g*6],400g*6,6.0,4,12900,3000,14-02-02,-
FH6-14-01,소분,[낱개]펭귄꽁치(한마리) 400 [400g*6],400g*6,6.0,4,17300,3000,14-01,-
MMC1EA-65-53-01,소분,[낱개]푸드킹 대파맛 메밀칩 [160g*1],160g*1,1.0,10,1800,4500,65-53-01,-
