카테고리번호,대분류,중분류,소분류,세분류
50013421,식품,가루/분말류,기타분말가루,
50017880,식품,가루/분말류,미숫가루,
50013440,식품,가루/분말류,밀가루,
50013380,식품,가루/분말류,부침가루,
50013400,식품,가루/분말류,빵가루,
50013480,식품,가루/분말류,쌀가루,
50013500,식품,가루/분말류,아몬드가루,
50013420,식품,가루/분말류,오트밀,
50013460,식품,가루/분말류,찹쌀가루,
50013321,식품,가루/분말류,콩가루,
50012841,식품,가루/분말류,튀김가루,
50018959,식품,건강식품,건강분말,강황가루
50018980,식품,건강식품,건강분말,기타건강분말
50018979,식품,건강식품,건강분말,맥문동분말
50018939,식품,건강식품,건강분말,새싹보리분말
50007007,식품,건강식품,건강즙/과일즙,기타건강즙/과일즙
50014460,식품,건강식품,건강즙/과일즙,배즙
50014480,식품,건강식품,건강즙/과일즙,블루베리즙
50007004,식품,건강식품,건강즙/과일즙,비트즙
50014400,식품,건강식품,건강즙/과일즙,사과즙
50014380,식품,건강식품,건강즙/과일즙,석류즙
50014440,식품,건강식품,건강즙/과일즙,아로니아즙
50007001,식품,건강식품,건강즙/과일즙,양배추즙
50007002,식품,건강식품,건강즙/과일즙,양파즙
50007005,식품,건강식품,건강즙/과일즙,칡즙
50007006,식품,건강식품,건강즙/과일즙,토마토즙
50014420,식품,건강식품,건강즙/과일즙,포도즙
50007003,식품,건강식품,건강즙/과일즙,호박즙
50017240,식품,건강식품,건강즙/과일즙,흑염소즙
50001899,식품,건강식품,건강환/정,
50001905,식품,건강식품,꿀,
50017060,식품,건강식품,로얄제리,
50002429,식품,건강식품,비타민제,기타비타민
50002425,식품,건강식품,비타민제,멀티비타민
50007044,식품,건강식품,비타민제,비오틴
50002426,식품,건강식품,비타민제,비타민A
50002427,식품,건강식품,비타민제,비타민B
50002428,식품,건강식품,비타민제,비타민C
50007042,식품,건강식품,비타민제,비타민D
50007043,식품,건강식품,비타민제,비타민E
50018940,식품,건강식품,비타민제,비타민K
50016742,식품,건강식품,숙취해소제,
50007036,식품,건강식품,영양제,MSM
50002448,식품,건강식품,영양제,감마리놀렌산
50002446,식품,건강식품,영양제,글루코사민
50017200,식품,건강식품,영양제,글루타치온
50002615,식품,건강식품,영양제,기타건강보조식품
50019039,식품,건강식품,영양제,대마종자유
50002608,식품,건강식품,영양제,루테인
50002444,식품,건강식품,영양제,마그네슘
50019099,식품,건강식품,영양제,마카
50019059,식품,건강식품,영양제,매스틱검
50019119,식품,건강식품,영양제,멜라토닌
50007031,식품,건강식품,영양제,밀크씨슬
50019079,식품,건강식품,영양제,바나바잎추출물
50023359,식품,건강식품,영양제,베르베린
50007033,식품,건강식품,영양제,보스웰리아
50007034,식품,건강식품,영양제,셀레늄
50002620,식품,건강식품,영양제,스피루리나
50002610,식품,건강식품,영양제,쏘팔메토
50002441,식품,건강식품,영양제,아연
50002616,식품,건강식품,영양제,알로에정/겔
50002440,식품,건강식품,영양제,엽산
50002447,식품,건강식품,영양제,오메가3
50017180,식품,건강식품,영양제,은행잎추출물
50019019,식품,건강식품,영양제,이노시톨
50002442,식품,건강식품,영양제,철분
50023379,식품,건강식품,영양제,초록입홍합
50007035,식품,건강식품,영양제,칼륨
50002443,식품,건강식품,영양제,칼슘
50018999,식품,건강식품,영양제,커큐민
50002617,식품,건강식품,영양제,코큐텐
50017140,식품,건강식품,영양제,콘드로이친
50007528,식품,건강식품,영양제,크릴오일
50002621,식품,건강식품,영양제,클로렐라
50002612,식품,건강식품,영양제,키토산
50017160,식품,건강식품,영양제,테아닌
50016482,식품,건강식품,영양제,포스파티딜세린
50007032,식품,건강식품,영양제,폴리코사놀
50007030,식품,건강식품,영양제,프로바이오틱스
50002445,식품,건강식품,영양제,프로폴리스
50007218,식품,건강식품,영양제,프리바이오틱스
50001902,식품,건강식품,인삼,
50002430,식품,건강식품,한방재료,가시오가피
50002431,식품,건강식품,한방재료,감초
50002432,식품,건강식품,한방재료,계피
50002433,식품,건강식품,한방재료,구기자
50002622,식품,건강식품,한방재료,기타한방재료
50002434,식품,건강식품,한방재료,녹용
50002435,식품,건강식품,한방재료,산수유
50002436,식품,건강식품,한방재료,오미자
50002437,식품,건강식품,한방재료,헛개나무
50002438,식품,건강식품,한방재료,황기
50011841,식품,건강식품,홍삼,기타홍삼제품
50012100,식품,건강식품,홍삼,정과/절편
50012101,식품,건강식품,홍삼,캡슐/환
50012120,식품,건강식품,홍삼,혼합세트
50012080,식품,건강식품,홍삼,홍삼액
50011861,식품,건강식품,환자식/영양보충식,
50017080,식품,건강식품,효모,
50017220,식품,건강식품,효소,
50002020,식품,김치,갓김치,
50002023,식품,김치,겉절이,
50002022,식품,김치,깍두기,
50002024,식품,김치,나박김치,
50002025,식품,김치,동치미,
50002026,식품,김치,묵은지,
50002027,식품,김치,백김치,
50002030,식품,김치,별미김치,
50002028,식품,김치,열무김치,
50014081,식품,김치,오이소박이,
50002031,식품,김치,절임배추,
50002021,식품,김치,총각김치,
50002029,식품,김치,파김치,
50002019,식품,김치,포기김치,
50001878,식품,냉동/간편조리식품,기타냉동/간편조리식품,
50012400,식품,냉동/간편조리식품,누룽지,
50006199,식품,냉동/간편조리식품,도시락,
50018500,식품,냉동/간편조리식품,동그랑땡/완자,
50012340,식품,냉동/간편조리식품,떡볶이,
50017122,식품,냉동/간편조리식품,라이스페이퍼,
50001871,식품,냉동/간편조리식품,만두/딤섬,
50012380,식품,냉동/간편조리식품,맛살/게살,
50018480,식품,냉동/간편조리식품,묵,
50001873,식품,냉동/간편조리식품,샐러드,
50012303,식품,냉동/간편조리식품,스프,
50001874,식품,냉동/간편조리식품,어묵,
50012440,식품,냉동/간편조리식품,죽,
50012302,식품,냉동/간편조리식품,카레/짜장,
50001877,식품,냉동/간편조리식품,튀김류,
50001867,식품,냉동/간편조리식품,피자,
50012360,식품,냉동/간편조리식품,함박/미트볼,
50001868,식품,냉동/간편조리식품,핫도그,
50001869,식품,냉동/간편조리식품,햄버거,
50002449,식품,농산물,건과류,감말랭이
50002450,식품,농산물,건과류,건망고
50002451,식품,농산물,건과류,건바나나
50002452,식품,농산물,건과류,건자두
50002453,식품,농산물,건과류,건포도
50002454,식품,농산물,건과류,곶감
50002455,식품,농산물,건과류,기타건과류
50002249,식품,농산물,견과류,기타견과류
50002238,식품,농산물,견과류,대추
50002236,식품,농산물,견과류,땅콩
50002244,식품,농산물,견과류,마카다미아
50002237,식품,농산물,견과류,밤
50002240,식품,농산물,견과류,아몬드
50002239,식품,농산물,견과류,은행
50002241,식품,농산물,견과류,잣
50002242,식품,농산물,견과류,캐슈너트
50002245,식품,농산물,견과류,피스타치오
50002246,식품,농산물,견과류,피칸
50002243,식품,농산물,견과류,해바라기씨
50002235,식품,농산물,견과류,호두
50002247,식품,농산물,견과류,호박씨
50011981,식품,농산물,견과류,혼합견과/견과류세트
50002167,식품,농산물,과일,감
50002163,식품,농산물,과일,감귤
50002195,식품,농산물,과일,과일세트
50002193,식품,농산물,과일,기타과일
50002164,식품,농산물,과일,딸기
50014182,식품,농산물,과일,레드향
50002186,식품,농산물,과일,레몬
50002187,식품,농산물,과일,망고
50002169,식품,농산물,과일,매실
50002170,식품,농산물,과일,멜론
50014300,식품,농산물,과일,무화과
50002188,식품,농산물,과일,바나나
50002161,식품,농산물,과일,배
50002172,식품,농산물,과일,복분자
50002183,식품,농산물,과일,복숭아
50002173,식품,농산물,과일,블루베리
50002160,식품,농산물,과일,사과
50002189,식품,농산물,과일,석류
50002175,식품,농산물,과일,수박
50007220,식품,농산물,과일,아보카도
50002190,식품,농산물,과일,오렌지
50002181,식품,농산물,과일,자두
50002191,식품,농산물,과일,자몽
50002177,식품,농산물,과일,참외
50002178,식품,농산물,과일,천혜향
50002185,식품,농산물,과일,체리
50002176,식품,농산물,과일,키위/참다래
50002162,식품,농산물,과일,토마토
50002192,식품,농산물,과일,파인애플
50002180,식품,농산물,과일,포도
50002179,식품,농산물,과일,한라봉
50018800,식품,농산물,냉동과일,기타냉동과일
50018740,식품,농산물,냉동과일,냉동딸기
50018760,식품,농산물,냉동과일,냉동망고
50018720,식품,농산물,냉동과일,냉동블루베리
50018780,식품,농산물,냉동과일,냉동아보카도
50004754,식품,농산물,쌀,기능성쌀
50004749,식품,농산물,쌀,백미
50004750,식품,농산물,쌀,찹쌀
50004751,식품,농산물,쌀,현미
50004752,식품,농산물,쌀,흑미
50014320,식품,농산물,잡곡/혼합곡,귀리
50002155,식품,농산물,잡곡/혼합곡,기장/조
50002159,식품,농산물,잡곡/혼합곡,기타잡곡
50002149,식품,농산물,잡곡/혼합곡,녹두
50002150,식품,농산물,잡곡/혼합곡,들깨
50002152,식품,농산물,잡곡/혼합곡,메밀
50004755,식품,농산물,잡곡/혼합곡,보리
50002154,식품,농산물,잡곡/혼합곡,수수
50002148,식품,농산물,잡곡/혼합곡,율무
50002151,식품,농산물,잡곡/혼합곡,참깨
50002156,식품,농산물,잡곡/혼합곡,콩
50002157,식품,농산물,잡곡/혼합곡,팥
50002158,식품,농산물,잡곡/혼합곡,혼합곡
50002199,식품,농산물,채소,가지
50002215,식품,농산물,채소,감자
50002461,식품,농산물,채소,건나물
50002214,식품,농산물,채소,고구마
50002204,식품,농산물,채소,고추
50002234,식품,농산물,채소,기타채소류
