변환관리코드,원코드,내품나누기,소분규격,소분상품명
HB200G10EA-15-15-06,15-15-06,3.0,10입*3,햇반 200g 10개입
TU85G12EA-15-06-04,15-06-04,4.0,85g*12,사조해표 살코기참치 85g 12개입
TU85G12EA-15-06-05,15-06-05,4.0,85g*12,사조해표 고추참치 85g 12개입
TU250G6EA-11-04-05,11-04-05,6.0,250g*6,동원참치 살코기 250g 6개입
TU250G6EA-11-11-02,11-11-02,6.0,250g*6,동원 김치찌개 참치(빅) 250g 6개입
TU250G6EA-11-05-04,11-05-04,6.0,250g*6,동원 고추참치(빅) 250g 6개입
TU250G6EA-11-21,11-21,6.0,250g*6,동원 DHA참치(빅) 250g 6개입
TU200G6EA-15-07,15-07,6.0,200g*6,사조 마일드참치 200g 6개입
TU200G6EA-11-03,11-03,6.0,200g*6,동원참치 살코기(빅) 200g 6개입
TU200G6EA-11-04,11-04,6.0,200g*6,동원참치 마일드 200g 6개입
TU200G6EA-11-11,11-11,6.0,200g*6,동원 김치찌개 참치 200g 6개입
TU150G12EA-11-05-02,11-05-02,4.0,150g*12,동원 고추참치 150g 12개입
TUS90G8EA-11-41-05,11-41-05,10.0,90g*8,동원 참치기획 살코기 90g 8개입
SC500G4EA-08-47-03,08-47-03,3.0,500g*4,백설 소불고기 양념장 500g 4개입
SC500G4EA-08-47-01,08-47-01,3.0,500g*4,
SC500G4EA-08-47-04,08-47-04,3.0,500g*4,백설 돼지불고기 양념장 500g 4개입
SC500G4EA-08-47-02,08-47-02,3.0,500g*4,백설 돼지갈비 양념장 500g 4개입
OIL900ML4EA-08-32,08-32,3.0,900ml*4,백설 포도씨유 900ml 4개
OIL900ML4EA-08-32-02,08-32-02,3.0,900ml*4,백설 카놀라유 900ml 4개
OIL500ML6EA-08-20-05,08-20-05,2.0,500ml*6,백설 압착 올리브유 500ml 6개
OIL500ML6EA-08-20-04,08-20-04,2.0,500ml*6,백설 바삭한 요리유 500ml 6개
OIL500ML6EA-08-20-03,08-20-03,2.0,500ml*6,
OIL500ML6EA-08-20-01,08-20-01,2.0,500*6,백설 포도씨유 500ml 6개
OILO450ML2EA-39-80..,39-80..,6.0,450ml*2,오뚜기 옛날참기름 450ml 2개입
OILO450ML2EA-08-37-02,08-37-02,6.0,430*2,백서설 고소함가득 참기름 430ml 2개입
OIL1P8L6EA-53-01,53-01,3.0,1.8L*12,해표 식용유 1.8L 4개입
