관리코드,상품명,규격
55-04-02,히비스커스헛개수500,500ml*20
55-04-01,히비스커스헛개수340(특수유통용),340ml*20
55-04-03,히비스커스블렌딩티500ml*24BT,500ml*24
42-75-02,황지수 핸드 클린겔500(손세정제)(70),500ml*15개
31-47-02,환타포도 355(업소용)/100,(355ml*24)
31-42-05,환타포도250,250ml*30
31-44-02,환타포도1.5,1.5L*12
31-42-04,환타파인250/99,250ml*30
31-46,환타파인 600,600ml*24
31-44-01,환타파인 1.5,1.5L*12
31-42,환타오렌지190 (126/132),190ml*30
31-45,환타오렌지 600,600ml*24
31-44-05,환타오렌지 300(pet) (72),300*24
31-42-02,환타오렌지 250/99,250ml*30
31-44,환타오렌지 1.5,1.5L*12
31-47-01,환타파인 355(업소용) /(100),355ml*24
31-47,환타오렌지 355 (업소용)/(88/100),355ml*24
28-06,화이브미니(동아),100ml*100
13-02,화남황도820G,820*12
13-02.,화남 황도슬라이스3kg,3Kg*6
13-01,화남황도(小),400g*24
13-06,화남파인애플,3K*6
13-03,화남백도(小),24*400
13-011,화남 파인애플 820g*12,820g*12
01-04,홍초석류 900+500 (기획),900+500*12
01-06,홍초석류 900,900ml*12
01-06.,홍초블루베리900+500(기획),900ml+500*12
01-04..,홍초블루베리 900,900ml*12
01-06..,홍초복분자900+500(기획),900+500*12
01-04.,홍초복분자 900,900ml*12
55-09-03,홍삼진플러스파우치70ml(30입),70ml*30입
15-41,홍삼진파우치,(70ml*120)*4
55-09-02,홍삼진병100ml,100ml*10
55-09,홍삼진병(100*10) Hk이노앤 (40),(100ml*10)*10
55-12-01,홍삼원케이스,
15-04-09,홍삼원디(정관장)100ml (50),(10병*10set)
52-66,혼다시/아지노모드(A),k*10
52-65,혼다/다시노모도(계성)(B),1k*10
34-04-02,호연당허니스파클링펫 350(104),350ml*20
34-04-01,호연당스파클링꿀물캔식스팩250,(6팩*5)
34-04,호연당스파클링꿀물캔250,250ml*30
34-02,호연당꿀물캔 175 (156),175ml*30
42-86,호연당 허니향(HK817),1kg
34-01-01,호연당 아카시아꿀물병 (56),180ml*48병
28-53-02,현대옥수수수염차 500ml,500*20
28-59,현대약품파렛트,
60-31,현대미에로반품,
28-13-01,헬씨올리고200/현대약품,200ml*40
28-13,헬씨올리고100/현대,100ml*100
27-101,헛개차페트500/롯데칠성,500*20
55-01-02,헛개 컨디션120ml (70),120ml*50
25-07,허쉬쿠키앤크림235팩/매일,235*6*4=24
