관리코드,상품명,박스내품,구분,입력값,원코드
01-17-08,청정원팜고급유NH-1호(3세트)-(BOX),3.0,선물세트,0.3333333333333333,01-17-08
01-19-04,청정원 고급유6호 / 8세트-(BOX)/24,8.0,선물세트,0.125,01-19-04
01-19-02,청정원 고급유3호 /4세트-(BOX),4.0,선물세트,0.25,01-19-02
01-17-05,청정원 NH-5호 / 3세트-(BOX),3.0,선물세트,0.3333333333333333,01-17-05
01-17-03,청정원 NH3호 / 3세트-(BOX)/32,3.0,선물세트,0.3333333333333333,01-17-03
01-17,청정원 스페셜 NH2호/3세트,3.0,선물세트,0.3333333333333333,01-17
45-07-03,CJ특별한선택N호/4세트(24),4.0,선물세트,0.25,45-07-03
45-12,스팸특별한선택 N2호 / 4세트-(BOX)/24,4.0,선물세트,0.25,45-12
45-25-02,,1.0,선물세트,1.0,45-25-02
45-27,CJ스팸복합2호 / 4세트(32),4.0,선물세트,0.25,45-27
45-11,CJ스팸복합1호 / 5세트(24),5.0,선물세트,0.2,45-11
45-26,,1.0,선물세트,1.0,45-26
45-04,,3.0,선물세트,0.3333333333333333,45-04
45-21,CJ스팸8호 / 5세트 (40),5.0,선물세트,0.2,45-21
45-05,CJ스팸6호/4세트(40),4.0,선물세트,0.25,45-05
45-10-01,CJ스팸3호/4세트 (32),4.0,선물세트,0.25,45-10-01
45-08,CJ스팸1호/4세트(18),4.0,선물세트,0.25,45-08
45-12-04,CJ특별한선택골드라벨/3세트(20),3.0,선물세트,0.3333333333333333,45-12-04
45-18-02,CJ 스팸8K호/5세트(40),5.0,선물세트,0.2,45-18-02
24-15-03,동서맥심모카골드230T*4(30),4.0,선물세트,0.25,24-15-03
24-15-05,동서맥심모카골드22호(230T)가방형(30),4.0,선물세트,0.25,24-15-05
16-25,,4.0,선물세트,0.25,16-25
16-24-01,롯데프리미엄 복합4호/3세트(BOX),3.0,선물세트,0.3333333333333333,16-24-01
16-24-02,,3.0,선물세트,0.3333333333333333,16-24-02
16-24,,3.0,선물세트,0.3333333333333333,16-24
16-31-02,롯데 프리미엄 런천미트2호/ 3세트 -(BOX)(42),3.0,선물세트,0.3333333333333333,16-31-02
16-15,,3.0,선물세트,0.3333333333333333,16-15
50-23.,,4.0,선물세트,0.25,50-23.
52-27,동원특15호/5세트-(BOX)/24,5.0,선물세트,0.2,52-27
50-24-01,동원튜나런천67호 / 4세트-(BOX)/30,4.0,선물세트,0.25,50-24-01
50-18,동원캔57호/4세트 (30),4.0,선물세트,0.25,50-18
50-12,,1.0,선물세트,1.0,50-12
50-01,동원친호 / 6세트-(BOX)/40,6.0,선물세트,0.1666666666666666,50-01
50-03,동원친100호 / 6세트-(BOX),6.0,선물세트,0.1666666666666666,50-03
50-39,동원참치10호/4세트-(BOX),4.0,선물세트,0.25,50-39
50-07,동원유호/8세트-(BOX)/42,8.0,선물세트,0.125,50-07
50-20-01,동원올리브김식탁24P/3세트-(BOX) (24),3.0,선물세트,0.3333333333333333,50-20-01
50-05,동원선호/4세트-(BOX)/32,4.0,선물세트,0.25,50-05
50-52.,,1.0,선물세트,1.0,50-52.
50-81,,1.0,선물세트,1.0,50-81
50-32,동원리챔G9호(리챔6호)/5세트(BOX)(32),5.0,선물세트,0.2,50-32
50-31,동원리챔4호/4세트(BOX),4.0,선물세트,0.25,50-31
50-311,,9.0,선물세트,0.1111111111111111,50-311
50-40,동원리챔2호/ 5세트(BOX)/32,5.0,선물세트,0.2,50-40
50-02,동원단호 / 6세트-(BOX)/30,6.0,선물세트,0.1666666666666666,50-02
50-04,동원단100호/6세트-(BOX),6.0,선물세트,0.1666666666666666,50-04
50-10,,4.0,선물세트,0.25,50-10
45-09-01,CJ풍성한S호/3세트(BOX)(16),3.0,선물세트,0.3333333333333333,45-09-01
15-01-05,CJ 제일N호/5세트,1.0,선물세트,1.0,15-01-05
45-07,CJ 스페셜 G호/3세트 (20),3.0,선물세트,0.3333333333333333,45-07
81-48,엘지생활의품격Y호(엘지3호)/5세트(BOX)/32,5.0,선물세트,0.2,81-48
01-19-06,청정원 L6호(4세트)-(BOX)/32,4.0,선물세트,0.25,01-19-06
01-19,청정원 특선A호*3세트-(BOX),3.0,선물세트,0.3333333333333333,01-19
50-00,동원 건강한49호/4세트-(Box),4.0,선물세트,0.25,50-00
57-01,,5.0,선물세트,0.2,57-01
50-55,동원진호 3세트,3.0,선물세트,0.3333333333333333,50-55
50-71,동원스페셜21호/ 4세트(BOX),4.0,선물세트,0.25,50-71
50-71-01,동원스페셜49호/ 6세트(BOX),6.0,선물세트,0.1666666666666666,50-71-01
50-72,동원참치M12호/ 5세트(BOX) (30),5.0,선물세트,0.2,50-72
50-72-01,동원참치S14호/ 6세트(BOX) (40),6.0,선물세트,0.1666666666666666,50-72-01
50-72-02,동원참치V30호/ 5세트(BOX),5.0,선물세트,0.2,50-72-02
50-75,동원튜나리챔30호/ 5세트(BOX),5.0,선물세트,0.2,50-75
50-71-02,동원스페셜5호/ 5세트(BOX)/32,5.0,선물세트,0.2,50-71-02
08-25-01,CJ 현명한선택FW호/ 5세트 (32),5.0,선물세트,0.2,08-25-01
50-75-02,동원튜나리챔100호(캔57호)/ 4세트 (BOX) (30),4.0,선물세트,0.25,50-75-02
45-06,CJ 스팸8E호 / 5세트-(BOX) (40),5.0,선물세트,0.2,45-06
